Location,Region,TL,TR,reporting_date,sCh,cCh,deaths,CFR
AFR::CMR::Centre::Mbankomo Health District,Centre,2013-01-28,2013-02-03,2013-02-03,0,0,0,
AFR::CMR::Centre::Monatele Health District,Centre,2013-01-28,2013-02-03,2013-02-03,0,0,0,
AFR::CMR::Far North::Mogode Health District,Far North,2013-11-11,2013-11-17,2013-11-17,0,0,0,
AFR::CMR::Far North::Mokolo Health District,Far North,2013-11-11,2013-11-17,2013-11-17,0,0,0,
AFR::CMR::Far North::Mora Health District,Far North,2013-11-11,2013-11-17,2013-11-17,0,0,0,
AFR::CMR::Far North::Moulvoudaye Health District,Far North,2013-11-11,2013-11-17,2013-11-17,0,0,0,
AFR::CMR::Far North::Moutourwa Health District,Far North,2013-11-11,2013-11-17,2013-11-17,0,0,0,
AFR::CMR::Far North::Pette Health District,Far North,2013-11-11,2013-11-17,2013-11-17,0,0,0,
AFR::CMR::Far North::Roua Health District,Far North,2013-11-11,2013-11-17,2013-11-17,0,0,0,
AFR::CMR::Far North::Tokombere Health District,Far North,2013-11-11,2013-11-17,2013-11-17,0,0,0,
AFR::CMR::Far North::Vele Health District,Far North,2013-11-11,2013-11-17,2013-11-17,0,0,0,
AFR::CMR::Centre::Akonolinga Health District,Centre,2013-11-11,2013-11-17,2013-11-17,0,0,0,
AFR::CMR::Centre::Awae Health District,Centre,2013-11-11,2013-11-17,2013-11-17,0,0,0,
AFR::CMR::Centre::Akonolinga Health District,Centre,2010-06-07,2010-06-13,2010-06-13,0,0,0,
AFR::CMR::Centre::Ayos Health District,Centre,2010-06-07,2010-06-13,2010-06-13,0,0,0,
AFR::CMR::Centre::Bafia Health District,Centre,2010-06-07,2010-06-13,2010-06-13,0,0,0,
AFR::CMR::Centre::Ebebda Health District,Centre,2010-06-07,2010-06-13,2010-06-13,0,0,0,
AFR::CMR::Centre::Efoulan Health District,Centre,2010-06-07,2010-06-13,2010-06-13,0,0,0,
AFR::CMR::Centre::Elig Mfomo Health District,Centre,2010-06-07,2010-06-13,2010-06-13,38,0,0,
AFR::CMR::Centre::Eseka Health District,Centre,2010-06-07,2010-06-13,2010-06-13,0,0,0,
AFR::CMR::Centre::Esse Health District,Centre,2010-06-07,2010-06-13,2010-06-13,0,0,0,
AFR::CMR::Centre::Evodoula Health District,Centre,2010-06-07,2010-06-13,2010-06-13,0,0,0,
AFR::CMR::Centre::Mbalmayo Health District,Centre,2010-06-07,2010-06-13,2010-06-13,0,0,0,
AFR::CMR::Centre::Mbandjock Health District,Centre,2010-06-07,2010-06-13,2010-06-13,90,60,1,1.67
AFR::CMR::Centre::Mbankomo Health District,Centre,2010-06-07,2010-06-13,2010-06-13,0,0,0,
AFR::CMR::Littoral::Logbaba Health District,Littoral,2015-01-05,2015-01-11,2015-01-11,0,0,0,
AFR::CMR::Centre::Awae Health District,Centre,2018-08-06,2018-08-12,2018-08-12,0,0,0,
AFR::CMR::South-West::Mundemba Health District,South-West,2010-09-13,2010-09-19,2010-09-19,0,0,0,
AFR::CMR::South-West::Muyuka Health District,South-West,2010-09-13,2010-09-19,2010-09-19,0,0,0,
AFR::CMR::South-West::Nguti Health District,South-West,2010-09-13,2010-09-19,2010-09-19,0,0,0,
AFR::CMR::South-West::Tiko Health District,South-West,2010-09-13,2010-09-19,2010-09-19,0,0,0,
AFR::CMR::South-West::Tombel Health District,South-West,2010-09-13,2010-09-19,2010-09-19,0,0,0,
AFR::CMR::South-West::Kumba Health District,South-West,2014-08-18,2014-08-24,2014-08-24,0,0,0,
AFR::CMR::West::Mbouda Health District,West,2011-04-11,2011-04-17,2011-04-17,0,0,0,
AFR::CMR::West::Mifi Health District,West,2011-04-11,2011-04-17,2011-04-17,74,38,0,0.0
AFR::CMR::West::Penka Michel Health District,West,2011-04-11,2011-04-17,2011-04-17,33,0,0,
AFR::CMR::West::Santchou Health District,West,2011-04-11,2011-04-17,2011-04-17,22,0,0,
AFR::CMR::West::Foumban Health District,West,2011-04-11,2011-04-17,2011-04-17,34,13,1,7.69
AFR::CMR::North-West::Ako Health District,North-West,2011-04-11,2011-04-17,2011-04-17,0,0,0,
AFR::CMR::North-West::Bafut Health District,North-West,2011-04-11,2011-04-17,2011-04-17,0,0,0,
AFR::CMR::North-West::Bali Health District,North-West,2011-04-11,2011-04-17,2011-04-17,0,0,0,
AFR::CMR::North-West::Bamenda Health District,North-West,2011-04-11,2011-04-17,2011-04-17,0,0,0,
AFR::CMR::North-West::Batibo Health District,North-West,2011-04-11,2011-04-17,2011-04-17,0,0,0,
AFR::CMR::North-West::Fundong Health District,North-West,2011-04-11,2011-04-17,2011-04-17,0,0,0,
AFR::CMR::North::Touboro Health District,North,2014-05-19,2014-05-25,2014-05-25,0,0,0,
AFR::CMR::Littoral::Bonassama Health District,Littoral,2014-05-19,2014-05-25,2014-05-25,0,0,0,
AFR::CMR::Littoral::Cite des palmiers Health District,Littoral,2014-05-19,2014-05-25,2014-05-25,0,0,0,
AFR::CMR::Littoral::Deido Health District,Littoral,2014-05-19,2014-05-25,2014-05-25,0,0,0,
AFR::CMR::Littoral::Dibombari Health District,Littoral,2014-05-19,2014-05-25,2014-05-25,0,0,0,
AFR::CMR::Littoral::Edea Health District,Littoral,2014-05-19,2014-05-25,2014-05-25,0,0,0,
AFR::CMR::Littoral::Logbaba Health District,Littoral,2014-05-19,2014-05-25,2014-05-25,0,0,0,
AFR::CMR::Littoral::Loum Health District,Littoral,2014-05-19,2014-05-25,2014-05-25,0,0,0,
AFR::CMR::Littoral::Manjo Health District,Littoral,2014-05-19,2014-05-25,2014-05-25,0,0,0,
AFR::CMR::Littoral::Manoka Health District,Littoral,2014-05-19,2014-05-25,2014-05-25,0,0,0,
AFR::CMR::West::Bangangte Health District,West,2010-08-09,2010-08-15,2010-08-15,0,0,0,
AFR::CMR::West::Bangourain Health District,West,2010-08-09,2010-08-15,2010-08-15,0,0,0,
AFR::CMR::West::Mbouda Health District,West,2010-08-09,2010-08-15,2010-08-15,0,0,0,
AFR::CMR::Littoral::Loum Health District,Littoral,2015-01-05,2015-01-11,2015-01-11,0,0,0,
AFR::CMR::Littoral::Manjo Health District,Littoral,2015-01-05,2015-01-11,2015-01-11,0,0,0,
AFR::CMR::Littoral::Manoka Health District,Littoral,2015-01-05,2015-01-11,2015-01-11,0,0,0,
AFR::CMR::Littoral::Mbanga Health District,Littoral,2015-01-05,2015-01-11,2015-01-11,0,0,0,
AFR::CMR::Littoral::Melong Health District,Littoral,2015-01-05,2015-01-11,2015-01-11,0,0,0,
AFR::CMR::Littoral::Ndom Health District,Littoral,2015-01-05,2015-01-11,2015-01-11,0,0,0,
AFR::CMR::Littoral::New Bell Health District,Littoral,2015-01-05,2015-01-11,2015-01-11,0,0,0,
AFR::CMR::Littoral::Ngambe Health District,Littoral,2015-01-05,2015-01-11,2015-01-11,0,0,0,
AFR::CMR::Littoral::Njombe penja Health District,Littoral,2015-01-05,2015-01-11,2015-01-11,0,0,0,
AFR::CMR::Littoral::Nkondjock Health District,Littoral,2015-01-05,2015-01-11,2015-01-11,0,0,0,
AFR::CMR::Littoral::Nylon Health District,Littoral,2015-01-05,2015-01-11,2015-01-11,0,0,0,
AFR::CMR::West::Foumbot Health District,West,2014-02-24,2014-03-02,2014-03-02,0,0,0,
AFR::CMR::West::Galim Health District,West,2014-02-24,2014-03-02,2014-03-02,41,18,0,0.0
AFR::CMR::West::Kekem Health District,West,2014-02-24,2014-03-02,2014-03-02,0,0,0,
AFR::CMR::West::Kouoptamo Health District,West,2014-02-24,2014-03-02,2014-03-02,0,0,0,
AFR::CMR::West::Malantouen Health District,West,2014-02-24,2014-03-02,2014-03-02,0,0,0,
AFR::CMR::West::Massangam Health District,West,2014-02-24,2014-03-02,2014-03-02,0,0,0,
AFR::CMR::West::Mbouda Health District,West,2014-02-24,2014-03-02,2014-03-02,0,0,0,
AFR::CMR::West::Mifi Health District,West,2014-02-24,2014-03-02,2014-03-02,0,0,0,
AFR::CMR::West::Penka Michel Health District,West,2014-02-24,2014-03-02,2014-03-02,0,0,0,
AFR::CMR::West::Santchou Health District,West,2014-02-24,2014-03-02,2014-03-02,0,0,0,
AFR::CMR::Far North::Kaele Health District,Far North,2013-08-19,2013-08-25,2013-08-25,0,0,0,
AFR::CMR::Far North::Kar Hay Health District,Far North,2013-08-19,2013-08-25,2013-08-25,0,0,0,
AFR::CMR::Far North::Kolofata Health District,Far North,2013-08-19,2013-08-25,2013-08-25,0,0,0,
AFR::CMR::Centre::Ngoumou Health District,Centre,2014-10-13,2014-10-19,2014-10-19,39,18,0,0.0
AFR::CMR::Centre::Ntui Health District,Centre,2014-10-13,2014-10-19,2014-10-19,0,0,0,
AFR::CMR::Centre::Obala Health District,Centre,2014-10-13,2014-10-19,2014-10-19,18,0,0,
AFR::CMR::Centre::Okola Health District,Centre,2014-10-13,2014-10-19,2014-10-19,0,0,0,
AFR::CMR::Centre::Saa Health District,Centre,2014-10-13,2014-10-19,2014-10-19,0,0,0,
AFR::CMR::Centre::Soa Health District,Centre,2014-10-13,2014-10-19,2014-10-19,66,33,1,3.03
AFR::CMR::Littoral::Ndom Health District,Littoral,2018-11-19,2018-11-25,2018-11-25,0,0,0,
AFR::CMR::Littoral::New Bell Health District,Littoral,2018-11-19,2018-11-25,2018-11-25,0,0,0,
AFR::CMR::Littoral::Ngambe Health District,Littoral,2018-11-19,2018-11-25,2018-11-25,0,0,0,
AFR::CMR::Littoral::Nkongsamba Health District,Littoral,2018-11-19,2018-11-25,2018-11-25,0,0,0,
AFR::CMR::Littoral::Nylon Health District,Littoral,2018-11-19,2018-11-25,2018-11-25,0,0,0,
AFR::CMR::Littoral::Yabassi Health District,Littoral,2018-11-19,2018-11-25,2018-11-25,0,0,0,
AFR::CMR::East::Abong Mbang Health District,East,2018-11-19,2018-11-25,2018-11-25,0,0,0,
AFR::CMR::Far North::Kousseri Health District,Far North,2018-03-12,2018-03-18,2018-03-18,0,0,0,
AFR::CMR::Far North::Koza Health District,Far North,2018-03-12,2018-03-18,2018-03-18,0,0,0,
AFR::CMR::Far North::Mada Health District,Far North,2018-03-12,2018-03-18,2018-03-18,0,0,0,
AFR::CMR::Far North::Maga Health District,Far North,2018-03-12,2018-03-18,2018-03-18,0,0,0,
AFR::CMR::Far North::Makary Health District,Far North,2018-03-12,2018-03-18,2018-03-18,33,0,0,
AFR::CMR::Far North::Maroua 1 Health District,Far North,2018-03-12,2018-03-18,2018-03-18,0,0,0,
AFR::CMR::Far North::Maroua 2 Health District,Far North,2018-03-12,2018-03-18,2018-03-18,0,0,0,
AFR::CMR::Far North::Maroua 3 Health District,Far North,2018-03-12,2018-03-18,2018-03-18,0,0,0,
AFR::CMR::Far North::Meri Health District,Far North,2018-03-12,2018-03-18,2018-03-18,0,0,0,
AFR::CMR::Far North::Mindif Health District,Far North,2018-03-12,2018-03-18,2018-03-18,0,0,0,
AFR::CMR::Far North::Mogode Health District,Far North,2018-03-12,2018-03-18,2018-03-18,0,0,0,
AFR::CMR::Far North::Mokolo Health District,Far North,2018-03-12,2018-03-18,2018-03-18,0,0,0,
AFR::CMR::South-West::Kumba Health District,South-West,2017-07-17,2017-07-23,2017-07-23,0,0,0,
AFR::CMR::West::Dschang Health District,West,2017-11-06,2017-11-12,2017-11-12,0,0,0,
AFR::CMR::West::Foumban Health District,West,2017-11-06,2017-11-12,2017-11-12,0,0,0,
AFR::CMR::West::Foumbot Health District,West,2017-11-06,2017-11-12,2017-11-12,21,6,0,0.0
AFR::CMR::West::Galim Health District,West,2017-11-06,2017-11-12,2017-11-12,0,0,0,
AFR::CMR::West::Kekem Health District,West,2017-11-06,2017-11-12,2017-11-12,0,0,0,
AFR::CMR::West::Kouoptamo Health District,West,2017-11-06,2017-11-12,2017-11-12,0,0,0,
AFR::CMR::West::Malantouen Health District,West,2017-11-06,2017-11-12,2017-11-12,27,0,0,
AFR::CMR::West::Massangam Health District,West,2017-11-06,2017-11-12,2017-11-12,0,0,0,
AFR::CMR::West::Mbouda Health District,West,2017-11-06,2017-11-12,2017-11-12,0,0,0,
AFR::CMR::West::Mifi Health District,West,2017-11-06,2017-11-12,2017-11-12,0,0,0,
AFR::CMR::North-West::Wum Health District,North-West,2016-07-25,2016-07-31,2016-07-31,0,0,0,
AFR::CMR::North::Bibemi Health District,North,2016-07-25,2016-07-31,2016-07-31,0,0,0,
AFR::CMR::North::Figuil Health District,North,2016-07-25,2016-07-31,2016-07-31,0,0,0,
AFR::CMR::North::Garoua 2 Health District,North,2016-07-25,2016-07-31,2016-07-31,0,0,0,
AFR::CMR::North::Gaschiga Health District,North,2016-07-25,2016-07-31,2016-07-31,0,0,0,
AFR::CMR::North::Golombe Health District,North,2016-07-25,2016-07-31,2016-07-31,0,0,0,
AFR::CMR::North::Guider Health District,North,2016-07-25,2016-07-31,2016-07-31,0,0,0,
AFR::CMR::North::Lagdo Health District,North,2016-07-25,2016-07-31,2016-07-31,46,27,1,3.7
AFR::CMR::North::Mayo Oulo Health District,North,2016-07-25,2016-07-31,2016-07-31,0,0,0,
AFR::CMR::North::Ngong Health District,North,2016-07-25,2016-07-31,2016-07-31,94,36,0,0.0
AFR::CMR::North::Pitoa Health District,North,2016-07-25,2016-07-31,2016-07-31,0,0,0,
AFR::CMR::North::Poli Health District,North,2016-07-25,2016-07-31,2016-07-31,0,0,0,
AFR::CMR::Far North::Kolofata Health District,Far North,2016-10-10,2016-10-16,2016-10-16,0,0,0,
AFR::CMR::Far North::Kousseri Health District,Far North,2016-10-10,2016-10-16,2016-10-16,0,0,0,
AFR::CMR::Far North::Koza Health District,Far North,2016-10-10,2016-10-16,2016-10-16,27,0,0,
AFR::CMR::Far North::Mada Health District,Far North,2016-10-10,2016-10-16,2016-10-16,0,0,0,
AFR::CMR::North::Gaschiga Health District,North,2010-04-05,2010-04-11,2010-04-11,0,0,0,
AFR::CMR::North::Golombe Health District,North,2010-04-05,2010-04-11,2010-04-11,0,0,0,
AFR::CMR::North::Guider Health District,North,2010-04-05,2010-04-11,2010-04-11,0,0,0,
AFR::CMR::North::Lagdo Health District,North,2010-04-05,2010-04-11,2010-04-11,0,0,0,
AFR::CMR::North::Mayo Oulo Health District,North,2010-04-05,2010-04-11,2010-04-11,0,0,0,
AFR::CMR::South::Lolodorf Health District,South,2014-11-24,2014-11-30,2014-11-30,0,0,0,
AFR::CMR::South::Meyomessala Health District,South,2014-11-24,2014-11-30,2014-11-30,0,0,0,
AFR::CMR::South::Mvangan Health District,South,2014-11-24,2014-11-30,2014-11-30,0,0,0,
AFR::CMR::South::Olamze Health District,South,2014-11-24,2014-11-30,2014-11-30,0,0,0,
AFR::CMR::South::Sangmelima Health District,South,2014-11-24,2014-11-30,2014-11-30,0,0,0,
AFR::CMR::South::Zoetele Health District,South,2014-11-24,2014-11-30,2014-11-30,0,0,0,
AFR::CMR::West::Bafang Health District,West,2014-11-24,2014-11-30,2014-11-30,0,0,0,
AFR::CMR::West::Baham Health District,West,2014-11-24,2014-11-30,2014-11-30,0,0,0,
AFR::CMR::Centre::Awae Health District,Centre,2014-01-20,2014-01-26,2014-01-26,0,0,0,
AFR::CMR::Centre::Ayos Health District,Centre,2014-01-20,2014-01-26,2014-01-26,0,0,0,
AFR::CMR::Centre::Bafia Health District,Centre,2014-01-20,2014-01-26,2014-01-26,0,0,0,
AFR::CMR::Centre::Ebebda Health District,Centre,2014-01-20,2014-01-26,2014-01-26,0,0,0,
AFR::CMR::Centre::Elig Mfomo Health District,Centre,2014-01-20,2014-01-26,2014-01-26,0,0,0,
AFR::CMR::North-West::Tubah Health District,North-West,2013-06-03,2013-06-09,2013-06-09,0,0,0,
AFR::CMR::Far North::Mindif Health District,Far North,2015-11-16,2015-11-22,2015-11-22,0,0,0,
AFR::CMR::Far North::Mogode Health District,Far North,2015-11-16,2015-11-22,2015-11-22,0,0,0,
AFR::CMR::Far North::Mokolo Health District,Far North,2015-11-16,2015-11-22,2015-11-22,0,0,0,
AFR::CMR::Far North::Mora Health District,Far North,2015-11-16,2015-11-22,2015-11-22,0,0,0,
AFR::CMR::Far North::Moulvoudaye Health District,Far North,2015-11-16,2015-11-22,2015-11-22,0,0,0,
AFR::CMR::Far North::Moutourwa Health District,Far North,2015-11-16,2015-11-22,2015-11-22,0,0,0,
AFR::CMR::Far North::Pette Health District,Far North,2015-11-16,2015-11-22,2015-11-22,0,0,0,
AFR::CMR::Far North::Roua Health District,Far North,2015-11-16,2015-11-22,2015-11-22,0,0,0,
AFR::CMR::North-West::Tubah Health District,North-West,2013-12-09,2013-12-15,2013-12-15,0,0,0,
AFR::CMR::North-West::Wum Health District,North-West,2013-12-09,2013-12-15,2013-12-15,17,0,0,
AFR::CMR::North::Bibemi Health District,North,2013-12-09,2013-12-15,2013-12-15,0,0,0,
AFR::CMR::North::Garoua 1 Health District,North,2013-12-09,2013-12-15,2013-12-15,0,0,0,
AFR::CMR::North::Gaschiga Health District,North,2013-12-09,2013-12-15,2013-12-15,0,0,0,
AFR::CMR::North::Golombe Health District,North,2013-12-09,2013-12-15,2013-12-15,0,0,0,
AFR::CMR::North::Guider Health District,North,2013-12-09,2013-12-15,2013-12-15,0,0,0,
AFR::CMR::North::Lagdo Health District,North,2013-12-09,2013-12-15,2013-12-15,0,0,0,
AFR::CMR::North::Mayo Oulo Health District,North,2013-12-09,2013-12-15,2013-12-15,0,0,0,
AFR::CMR::North::Ngong Health District,North,2013-12-09,2013-12-15,2013-12-15,0,0,0,
AFR::CMR::Centre::Ngoumou Health District,Centre,2018-08-06,2018-08-12,2018-08-12,0,0,0,
AFR::CMR::Centre::Ntui Health District,Centre,2018-08-06,2018-08-12,2018-08-12,0,0,0,
AFR::CMR::Centre::Obala Health District,Centre,2018-08-06,2018-08-12,2018-08-12,0,0,0,
AFR::CMR::Centre::Okola Health District,Centre,2018-08-06,2018-08-12,2018-08-12,0,0,0,
AFR::CMR::Centre::Saa Health District,Centre,2018-08-06,2018-08-12,2018-08-12,0,0,0,
AFR::CMR::Centre::Soa Health District,Centre,2018-08-06,2018-08-12,2018-08-12,0,0,0,
AFR::CMR::Centre::Cite Verte Health District,Centre,2018-08-06,2018-08-12,2018-08-12,0,0,0,
AFR::CMR::Centre::Biyem Assi Health District,Centre,2018-08-06,2018-08-12,2018-08-12,0,0,0,
AFR::CMR::Centre::Nkolbisson Health District,Centre,2018-08-06,2018-08-12,2018-08-12,0,0,0,
AFR::CMR::Centre::Djoungolo Health District,Centre,2018-08-06,2018-08-12,2018-08-12,0,0,0,
AFR::CMR::Adamaoua::Banyo Health District,Adamaoua,2018-08-06,2018-08-12,2018-08-12,0,0,0,
AFR::CMR::North-West::Kumbo West Health District,North-West,2015-10-19,2015-10-25,2015-10-25,0,0,0,
AFR::CMR::North-West::Mbengwi Health District,North-West,2015-10-19,2015-10-25,2015-10-25,0,0,0,
AFR::CMR::North-West::Ndop Health District,North-West,2015-10-19,2015-10-25,2015-10-25,222,120,5,4.17
AFR::CMR::North-West::Ndu Health District,North-West,2015-10-19,2015-10-25,2015-10-25,0,0,0,
AFR::CMR::North-West::Njikwa Health District,North-West,2015-10-19,2015-10-25,2015-10-25,0,0,0,
AFR::CMR::North-West::Nkambe Health District,North-West,2015-10-19,2015-10-25,2015-10-25,0,0,0,
AFR::CMR::North-West::Nwa Health District,North-West,2015-10-19,2015-10-25,2015-10-25,0,0,0,
AFR::CMR::North-West::Santa Health District,North-West,2015-10-19,2015-10-25,2015-10-25,112,37,2,5.41
AFR::CMR::Littoral::Mbangue Health District,Littoral,2019-02-04,2019-02-10,2019-02-10,0,0,0,
AFR::CMR::North-West::Wum Health District,North-West,2015-10-19,2015-10-25,2015-10-25,0,0,0,
AFR::CMR::North::Figuil Health District,North,2015-10-19,2015-10-25,2015-10-25,0,0,0,
AFR::CMR::North::Garoua 1 Health District,North,2015-10-19,2015-10-25,2015-10-25,0,0,0,
AFR::CMR::Littoral::Ndom Health District,Littoral,2019-02-04,2019-02-10,2019-02-10,0,0,0,
AFR::CMR::Littoral::New Bell Health District,Littoral,2019-02-04,2019-02-10,2019-02-10,0,0,0,
AFR::CMR::Littoral::Ngambe Health District,Littoral,2019-02-04,2019-02-10,2019-02-10,0,0,0,
AFR::CMR::Littoral::Nkongsamba Health District,Littoral,2019-02-04,2019-02-10,2019-02-10,0,0,0,
AFR::CMR::Littoral::Nylon Health District,Littoral,2019-02-04,2019-02-10,2019-02-10,0,0,0,
AFR::CMR::Littoral::Yabassi Health District,Littoral,2019-02-04,2019-02-10,2019-02-10,0,0,0,
AFR::CMR::Littoral::Bangem Health District,Littoral,2019-02-04,2019-02-10,2019-02-10,0,0,0,
AFR::CMR::Littoral::Abo Health District,Littoral,2019-02-04,2019-02-10,2019-02-10,0,0,0,
AFR::CMR::Littoral::Japoma Health District,Littoral,2019-02-04,2019-02-10,2019-02-10,0,0,0,
AFR::CMR::East::Nguelemendouka Health District,East,2017-04-10,2017-04-16,2017-04-16,0,0,0,
AFR::CMR::East::Yokadouma Health District,East,2017-04-10,2017-04-16,2017-04-16,0,0,0,
AFR::CMR::Far North::Bogo Health District,Far North,2017-04-10,2017-04-16,2017-04-16,0,0,0,
AFR::CMR::Far North::Bourha Health District,Far North,2017-04-10,2017-04-16,2017-04-16,0,0,0,
AFR::CMR::Far North::Gazawa Health District,Far North,2017-04-10,2017-04-16,2017-04-16,0,0,0,
AFR::CMR::Far North::Goulfey Health District,Far North,2017-04-10,2017-04-16,2017-04-16,0,0,0,
AFR::CMR::South-West::Nguti Health District,South-West,2010-03-01,2010-03-07,2010-03-07,0,0,0,
AFR::CMR::South-West::Tiko Health District,South-West,2010-03-01,2010-03-07,2010-03-07,0,0,0,
AFR::CMR::South-West::Tombel Health District,South-West,2010-03-01,2010-03-07,2010-03-07,0,0,0,
AFR::CMR::South-West::Wabane Health District,South-West,2010-03-01,2010-03-07,2010-03-07,0,0,0,
AFR::CMR::South::Ambam Health District,South,2010-03-01,2010-03-07,2010-03-07,0,0,0,
AFR::CMR::South::Ebolowa Health District,South,2010-03-01,2010-03-07,2010-03-07,0,0,0,
AFR::CMR::Centre::Ebebda Health District,Centre,2017-01-02,2017-01-08,2017-01-08,38,0,0,
AFR::CMR::Centre::Efoulan Health District,Centre,2017-01-02,2017-01-08,2017-01-08,0,0,0,
AFR::CMR::Centre::Elig Mfomo Health District,Centre,2017-01-02,2017-01-08,2017-01-08,0,0,0,
AFR::CMR::Far North::Tokombere Health District,Far North,2013-03-04,2013-03-10,2013-03-10,0,0,0,
AFR::CMR::Far North::Vele Health District,Far North,2013-03-04,2013-03-10,2013-03-10,0,0,0,
AFR::CMR::Far North::Yagoua Health District,Far North,2013-03-04,2013-03-10,2013-03-10,0,0,0,
AFR::CMR::Centre::Akonolinga Health District,Centre,2013-03-04,2013-03-10,2013-03-10,0,0,0,
AFR::CMR::Centre::Awae Health District,Centre,2013-03-04,2013-03-10,2013-03-10,0,0,0,
AFR::CMR::Centre::Ayos Health District,Centre,2013-03-04,2013-03-10,2013-03-10,0,0,0,
AFR::CMR::Centre::Bafia Health District,Centre,2013-03-04,2013-03-10,2013-03-10,0,0,0,
AFR::CMR::Centre::Ebebda Health District,Centre,2013-03-04,2013-03-10,2013-03-10,0,0,0,
AFR::CMR::Centre::Efoulan Health District,Centre,2013-03-04,2013-03-10,2013-03-10,0,0,0,
AFR::CMR::North-West::Oku Health District,North-West,2015-06-29,2015-07-05,2015-07-05,0,0,0,
AFR::CMR::North-West::Santa Health District,North-West,2015-06-29,2015-07-05,2015-07-05,155,0,0,
AFR::CMR::Far North::Moulvoudaye Health District,Far North,2016-10-10,2016-10-16,2016-10-16,0,0,0,
AFR::CMR::Far North::Moutourwa Health District,Far North,2016-10-10,2016-10-16,2016-10-16,0,0,0,
AFR::CMR::Far North::Pette Health District,Far North,2016-10-10,2016-10-16,2016-10-16,0,0,0,
AFR::CMR::Far North::Roua Health District,Far North,2016-10-10,2016-10-16,2016-10-16,0,0,0,
AFR::CMR::Far North::Tokombere Health District,Far North,2016-10-10,2016-10-16,2016-10-16,0,0,0,
AFR::CMR::Far North::Vele Health District,Far North,2016-10-10,2016-10-16,2016-10-16,0,0,0,
AFR::CMR::Far North::Yagoua Health District,Far North,2016-10-10,2016-10-16,2016-10-16,0,0,0,
AFR::CMR::Centre::Akonolinga Health District,Centre,2016-10-10,2016-10-16,2016-10-16,0,0,0,
AFR::CMR::Centre::Awae Health District,Centre,2016-10-10,2016-10-16,2016-10-16,0,0,0,
AFR::CMR::Centre::Bafia Health District,Centre,2016-10-10,2016-10-16,2016-10-16,53,27,0,0.0
AFR::CMR::Centre::Esse Health District,Centre,2012-12-03,2012-12-09,2012-12-09,0,0,0,
AFR::CMR::Centre::Evodoula Health District,Centre,2012-12-03,2012-12-09,2012-12-09,0,0,0,
AFR::CMR::Centre::Mbalmayo Health District,Centre,2012-12-03,2012-12-09,2012-12-09,0,0,0,
AFR::CMR::Centre::Mbandjock Health District,Centre,2012-12-03,2012-12-09,2012-12-09,0,0,0,
AFR::CMR::Littoral::Loum Health District,Littoral,2016-05-09,2016-05-15,2016-05-15,0,0,0,
AFR::CMR::Littoral::Manjo Health District,Littoral,2016-05-09,2016-05-15,2016-05-15,0,0,0,
AFR::CMR::Littoral::Manoka Health District,Littoral,2016-05-09,2016-05-15,2016-05-15,0,0,0,
AFR::CMR::Littoral::Mbanga Health District,Littoral,2016-05-09,2016-05-15,2016-05-15,0,0,0,
AFR::CMR::Littoral::Melong Health District,Littoral,2016-05-09,2016-05-15,2016-05-15,362,0,0,
AFR::CMR::Littoral::Ndom Health District,Littoral,2016-05-09,2016-05-15,2016-05-15,0,0,0,
AFR::CMR::Littoral::New Bell Health District,Littoral,2016-05-09,2016-05-15,2016-05-15,0,0,0,
AFR::CMR::Littoral::Njombe penja Health District,Littoral,2016-05-09,2016-05-15,2016-05-15,0,0,0,
AFR::CMR::West::Batcham Health District,West,2015-03-23,2015-03-29,2015-03-29,0,0,0,
AFR::CMR::West::Dschang Health District,West,2015-03-23,2015-03-29,2015-03-29,0,0,0,
AFR::CMR::West::Foumban Health District,West,2015-03-23,2015-03-29,2015-03-29,0,0,0,
AFR::CMR::West::Foumbot Health District,West,2015-03-23,2015-03-29,2015-03-29,0,0,0,
AFR::CMR::West::Galim Health District,West,2015-03-23,2015-03-29,2015-03-29,0,0,0,
AFR::CMR::West::Kekem Health District,West,2015-03-23,2015-03-29,2015-03-29,0,0,0,
AFR::CMR::West::Kouoptamo Health District,West,2015-03-23,2015-03-29,2015-03-29,0,0,0,
AFR::CMR::West::Malantouen Health District,West,2015-03-23,2015-03-29,2015-03-29,0,0,0,
AFR::CMR::West::Massangam Health District,West,2015-03-23,2015-03-29,2015-03-29,0,0,0,
AFR::CMR::West::Mbouda Health District,West,2015-03-23,2015-03-29,2015-03-29,0,0,0,
AFR::CMR::West::Mifi Health District,West,2015-03-23,2015-03-29,2015-03-29,0,0,0,
AFR::CMR::West::Penka Michel Health District,West,2015-03-23,2015-03-29,2015-03-29,0,0,0,
AFR::CMR::Far North::Goulfey Health District,Far North,2013-10-14,2013-10-20,2013-10-20,0,0,0,
AFR::CMR::North-West::Benakuma Health District,North-West,2015-05-11,2015-05-17,2015-05-17,0,0,0,
AFR::CMR::North-West::Fundong Health District,North-West,2015-05-11,2015-05-17,2015-05-17,0,0,0,
AFR::CMR::North-West::Kumbo East Health District,North-West,2015-05-11,2015-05-17,2015-05-17,0,0,0,
AFR::CMR::North-West::Kumbo West Health District,North-West,2015-05-11,2015-05-17,2015-05-17,0,0,0,
AFR::CMR::North-West::Mbengwi Health District,North-West,2015-05-11,2015-05-17,2015-05-17,0,0,0,
