reporting_date,TL,TR,sCh,cCh,deaths,CFR,Region
2016-03-13,3/7/2016,3/13/2016,959,362,5,1.3812154696132597,Cameroon
2016-03-20,3/14/2016,3/20/2016,1277,538,11,2.0446096654275094,Cameroon
2016-03-27,3/21/2016,3/27/2016,1393,459,7,1.5250544662309369,Cameroon
2016-04-03,3/28/2016,4/3/2016,786,310,3,0.967741935483871,Cameroon
2016-04-10,4/4/2016,4/10/2016,1292,252,3,1.1904761904761905,Cameroon
2016-04-17,4/11/2016,4/17/2016,1914,551,10,1.8148820326678767,Cameroon
2016-04-24,4/18/2016,4/24/2016,755,263,4,1.520912547528517,Cameroon
2016-05-01,4/25/2016,5/1/2016,1776,469,9,1.9189765458422177,Cameroon
2016-05-08,5/2/2016,5/8/2016,1698,664,16,2.4096385542168677,Cameroon
2016-05-15,5/9/2016,5/15/2016,1872,280,4,1.4285714285714286,Cameroon
2016-05-22,5/16/2016,5/22/2016,2672,788,16,2.030456852791878,Cameroon
2016-05-29,5/23/2016,5/29/2016,2189,539,10,1.855287569573284,Cameroon
2016-06-05,5/30/2016,6/5/2016,1583,485,7,1.443298969072165,Cameroon
2016-06-12,6/6/2016,6/12/2016,2349,621,14,2.254428341384863,Cameroon
2016-06-19,6/13/2016,6/19/2016,1805,587,10,1.7035775127768313,Cameroon
2016-06-26,6/20/2016,6/26/2016,1809,563,9,1.5985790408525755,Cameroon
2016-07-03,6/27/2016,7/3/2016,981,266,4,1.5037593984962405,Cameroon
2016-07-10,7/4/2016,7/10/2016,1866,871,21,2.4110218140068884,Cameroon
2016-07-17,7/11/2016,7/17/2016,1832,798,18,2.2556390977443606,Cameroon
2016-07-24,7/18/2016,7/24/2016,2064,609,9,1.477832512315271,Cameroon
2016-07-31,7/25/2016,7/31/2016,2255,744,18,2.4193548387096775,Cameroon
2016-08-07,8/1/2016,8/7/2016,2832,1204,17,1.4119601328903655,Cameroon
2016-08-14,8/8/2016,8/14/2016,1753,372,6,1.6129032258064515,Cameroon
2016-08-21,8/15/2016,8/21/2016,2167,747,15,2.0080321285140563,Cameroon
2016-08-28,8/22/2016,8/28/2016,2438,480,9,1.875,Cameroon
2016-09-04,8/29/2016,9/4/2016,2109,935,17,1.8181818181818181,Cameroon
2016-09-11,9/5/2016,9/11/2016,2513,1012,16,1.5810276679841897,Cameroon
2016-09-18,9/12/2016,9/18/2016,3156,1315,29,2.2053231939163496,Cameroon
2016-09-25,9/19/2016,9/25/2016,1953,785,13,1.6560509554140128,Cameroon
2016-10-02,9/26/2016,10/2/2016,2355,696,9,1.293103448275862,Cameroon
2016-10-09,10/3/2016,10/9/2016,1687,562,13,2.3131672597864767,Cameroon
2016-10-16,10/10/2016,10/16/2016,885,190,2,1.0526315789473684,Cameroon
2016-10-23,10/17/2016,10/23/2016,2095,519,11,2.119460500963391,Cameroon
2016-10-30,10/24/2016,10/30/2016,1025,270,5,1.8518518518518516,Cameroon
2016-11-06,10/31/2016,11/6/2016,1309,323,5,1.5479876160990713,Cameroon
2016-11-13,11/7/2016,11/13/2016,259,47,0,0.0,Cameroon
2016-11-20,11/14/2016,11/20/2016,1189,236,0,0.0,Cameroon
2016-11-27,11/21/2016,11/27/2016,741,185,4,2.1621621621621623,Cameroon
2016-12-04,11/28/2016,12/4/2016,275,71,0,0.0,Cameroon
2016-12-11,12/5/2016,12/11/2016,453,117,2,1.7094017094017095,Cameroon
2016-12-18,12/12/2016,12/18/2016,518,70,0,0.0,Cameroon
2016-12-25,12/19/2016,12/25/2016,519,161,3,1.8633540372670807,Cameroon
2017-01-01,12/26/2016,1/1/2017,329,72,1,1.3888888888888888,Cameroon
2017-01-08,1/2/2017,1/8/2017,335,52,1,1.9230769230769231,Cameroon
2017-01-15,1/9/2017,1/15/2017,485,88,0,0.0,Cameroon
2017-01-22,1/16/2017,1/22/2017,474,107,3,2.803738317757009,Cameroon
2017-01-29,1/23/2017,1/29/2017,360,120,3,2.5,Cameroon
2017-02-05,1/30/2017,2/5/2017,500,146,1,0.684931506849315,Cameroon
2017-02-12,2/6/2017,2/12/2017,875,155,0,0.0,Cameroon
2017-02-19,2/13/2017,2/19/2017,289,99,1,1.0101010101010102,Cameroon
2017-02-26,2/20/2017,2/26/2017,556,128,3,2.34375,Cameroon
2017-03-05,2/27/2017,3/5/2017,568,143,0,0.0,Cameroon
2017-03-12,3/6/2017,3/12/2017,685,150,2,1.3333333333333335,Cameroon
2017-03-19,3/13/2017,3/19/2017,636,173,0,0.0,Cameroon
2017-03-26,3/20/2017,3/26/2017,772,230,2,0.8695652173913043,Cameroon
2017-04-02,3/27/2017,4/2/2017,850,346,7,2.023121387283237,Cameroon
2017-04-09,4/3/2017,4/9/2017,428,84,1,1.1904761904761905,Cameroon
2017-04-16,4/10/2017,4/16/2017,1216,397,4,1.0075566750629723,Cameroon
2017-04-23,4/17/2017,4/23/2017,745,240,2,0.8333333333333334,Cameroon
2017-04-30,4/24/2017,4/30/2017,516,186,4,2.1505376344086025,Cameroon
2017-05-07,5/1/2017,5/7/2017,1325,528,13,2.462121212121212,Cameroon
2017-05-14,5/8/2017,5/14/2017,979,282,2,0.7092198581560284,Cameroon
2017-05-21,5/15/2017,5/21/2017,1564,414,8,1.932367149758454,Cameroon
2017-05-28,5/22/2017,5/28/2017,1961,717,15,2.092050209205021,Cameroon
2017-06-04,5/29/2017,6/4/2017,1794,668,12,1.7964071856287425,Cameroon
2017-06-11,6/5/2017,6/11/2017,1271,463,7,1.511879049676026,Cameroon
2017-06-18,6/12/2017,6/18/2017,2101,743,14,1.8842530282637955,Cameroon
2017-06-25,6/19/2017,6/25/2017,1189,504,8,1.5873015873015872,Cameroon
2017-07-02,6/26/2017,7/2/2017,2276,842,11,1.3064133016627077,Cameroon
2017-07-09,7/3/2017,7/9/2017,1800,717,12,1.6736401673640167,Cameroon
2017-07-16,7/10/2017,7/16/2017,1904,528,12,2.272727272727273,Cameroon
2017-07-23,7/17/2017,7/23/2017,1931,833,12,1.440576230492197,Cameroon
2017-07-30,7/24/2017,7/30/2017,2291,609,13,2.134646962233169,Cameroon
2017-08-06,7/31/2017,8/6/2017,3045,1205,19,1.5767634854771784,Cameroon
2017-08-13,8/7/2017,8/13/2017,2914,1248,23,1.842948717948718,Cameroon
2017-08-20,8/14/2017,8/20/2017,1954,857,9,1.0501750291715286,Cameroon
2017-08-27,8/21/2017,8/27/2017,1637,569,9,1.5817223198594026,Cameroon
2017-09-03,8/28/2017,9/3/2017,1809,874,14,1.6018306636155606,Cameroon
2017-09-10,9/4/2017,9/10/2017,2190,788,17,2.1573604060913705,Cameroon
2017-09-17,9/11/2017,9/17/2017,1687,691,14,2.0260492040520983,Cameroon
2017-09-24,9/18/2017,9/24/2017,2603,977,17,1.7400204708290685,Cameroon
2017-10-01,9/25/2017,10/1/2017,1278,323,5,1.5479876160990713,Cameroon
2017-10-08,10/2/2017,10/8/2017,1987,697,12,1.721664275466284,Cameroon
2017-10-15,10/9/2017,10/15/2017,2725,960,17,1.7708333333333333,Cameroon
2017-10-22,10/16/2017,10/22/2017,1780,398,6,1.507537688442211,Cameroon
2017-10-29,10/23/2017,10/29/2017,868,216,3,1.3888888888888888,Cameroon
2017-11-05,10/30/2017,11/5/2017,720,159,3,1.8867924528301887,Cameroon
2017-11-12,11/6/2017,11/12/2017,671,166,2,1.2048192771084338,Cameroon
2017-11-19,11/13/2017,11/19/2017,765,290,4,1.3793103448275863,Cameroon
2017-11-26,11/20/2017,11/26/2017,519,168,3,1.7857142857142856,Cameroon
2017-12-03,11/27/2017,12/3/2017,175,69,0,0.0,Cameroon
2017-12-10,12/4/2017,12/10/2017,359,87,0,0.0,Cameroon
2017-12-17,12/11/2017,12/17/2017,254,42,0,0.0,Cameroon
2017-12-24,12/18/2017,12/24/2017,624,208,4,1.9230769230769231,Cameroon
2017-12-31,12/25/2017,12/31/2017,550,220,3,1.3636363636363635,Cameroon
2018-01-07,1/1/2018,1/7/2018,0,0,0,,Cameroon
2018-01-14,1/8/2018,1/14/2018,0,0,0,,Cameroon
2018-01-21,1/15/2018,1/21/2018,0,0,0,,Cameroon
2018-01-28,1/22/2018,1/28/2018,14,7,0,0.0,Cameroon
2018-02-04,1/29/2018,2/4/2018,0,0,0,,Cameroon
2018-02-11,2/5/2018,2/11/2018,0,0,0,,Cameroon
2018-02-18,2/12/2018,2/18/2018,45,16,0,0.0,Cameroon
2018-02-25,2/19/2018,2/25/2018,37,23,0,0.0,Cameroon
2018-03-04,2/26/2018,3/4/2018,116,24,0,0.0,Cameroon
2018-03-11,3/5/2018,3/11/2018,36,0,0,,Cameroon
2018-03-18,3/12/2018,3/18/2018,38,0,0,,Cameroon
2018-03-25,3/19/2018,3/25/2018,0,0,0,,Cameroon
2018-04-01,3/26/2018,4/1/2018,1,1,0,0.0,Cameroon
2018-04-08,4/2/2018,4/8/2018,205,88,2,2.272727272727273,Cameroon
2018-04-15,4/9/2018,4/15/2018,29,15,0,0.0,Cameroon
2018-04-22,4/16/2018,4/22/2018,1,1,0,0.0,Cameroon
2018-04-29,4/23/2018,4/29/2018,0,0,0,,Cameroon
2018-05-06,4/30/2018,5/6/2018,52,16,0,0.0,Cameroon
2018-05-13,5/7/2018,5/13/2018,127,63,2,3.1746031746031744,Cameroon
2018-05-20,5/14/2018,5/20/2018,189,39,0,0.0,Cameroon
2018-05-21,5/18/2018,5/21/2018,88,42,3,7.142857142857142,Cameroon
2018-05-24,5/18/2018,5/24/2018,116,28,0,0.0,Cameroon
2018-05-27,5/21/2018,5/27/2018,200,131,3,2.2900763358778624,Cameroon
2018-06-03,5/28/2018,6/3/2018,0,0,0,,Cameroon
2018-06-10,6/4/2018,6/10/2018,94,0,0,,Cameroon
2018-06-17,6/11/2018,6/17/2018,0,0,0,,Cameroon
2018-06-24,6/18/2018,6/24/2018,209,96,1,1.0416666666666665,Cameroon
2018-06-27,5/18/2018,6/27/2018,147,0,0,,Cameroon
2018-07-01,6/25/2018,7/1/2018,403,171,7,4.093567251461988,Cameroon
2018-07-08,7/2/2018,7/8/2018,0,0,0,,Cameroon
2018-07-15,7/9/2018,7/15/2018,121,20,0,0.0,Cameroon
2018-07-22,7/16/2018,7/22/2018,231,82,1,1.2195121951219512,Cameroon
2018-07-26,5/18/2018,7/26/2018,184,83,1,1.2048192771084338,Cameroon
2018-07-29,7/23/2018,7/29/2018,341,123,2,1.6260162601626018,Cameroon
2018-07-31,5/18/2018,7/31/2018,143,33,0,0.0,Cameroon
2018-08-05,7/30/2018,8/5/2018,221,78,1,1.282051282051282,Cameroon
2018-08-12,7/17/2018,8/12/2018,269,138,2,1.4492753623188406,Cameroon
2018-08-12,8/6/2018,8/12/2018,116,65,3,4.615384615384616,Cameroon
2018-08-13,5/18/2018,8/13/2018,76,37,1,2.7027027027027026,Cameroon
2018-08-17,5/18/2018,8/17/2018,111,14,1,7.142857142857142,Cameroon
2018-08-19,8/13/2018,8/19/2018,338,147,2,1.3605442176870748,Cameroon
2018-08-26,8/20/2018,8/26/2018,1338,517,7,1.3539651837524178,Cameroon
2018-09-02,8/27/2018,9/2/2018,260,138,3,2.1739130434782608,Cameroon
2018-09-03,5/18/2018,9/3/2018,179,19,1,5.263157894736842,Cameroon
2018-09-03,8/27/2018,9/3/2018,94,53,1,1.8867924528301887,Cameroon
2018-09-09,9/3/2018,9/9/2018,251,41,1,2.4390243902439024,Cameroon
2018-09-16,9/10/2018,9/16/2018,357,0,0,,Cameroon
2018-09-17,5/18/2018,9/17/2018,267,85,1,1.1764705882352942,Cameroon
2018-09-23,9/17/2018,9/23/2018,66,0,0,,Cameroon
2018-09-24,5/18/2018,9/24/2018,317,110,8,7.2727272727272725,Cameroon
2018-09-24,8/28/2018,9/24/2018,0,0,0,,Cameroon
2018-09-28,5/18/2018,9/28/2018,284,131,3,2.2900763358778624,Cameroon
2018-09-28,8/24/2018,9/28/2018,0,0,0,,Cameroon
2018-09-30,9/24/2018,9/30/2018,181,76,1,1.3157894736842104,Cameroon
2018-10-07,10/1/2018,10/7/2018,204,77,3,3.896103896103896,Cameroon
2018-10-12,5/18/2018,10/12/2018,49,4,0,0.0,Cameroon
2018-10-14,10/8/2018,10/14/2018,309,115,1,0.8695652173913043,Cameroon
2018-10-16,10/12/2018,10/16/2018,113,59,2,3.389830508474576,Cameroon
2018-10-16,8/27/2018,10/16/2018,0,0,0,,Cameroon
2018-10-21,10/15/2018,10/21/2018,141,38,0,0.0,Cameroon
2018-10-23,10/11/2018,10/23/2018,0,0,0,,Cameroon
2018-10-23,10/19/2018,10/23/2018,58,0,1,,Cameroon
2018-10-23,5/18/2018,10/23/2018,19,5,0,0.0,Cameroon
2018-10-23,8/27/2018,10/23/2018,52,20,0,0.0,Cameroon
2018-10-28,10/22/2018,10/28/2018,151,50,1,2.0,Cameroon
2018-10-29,10/11/2018,10/29/2018,0,0,0,,Cameroon
2018-10-29,10/23/2018,10/29/2018,75,11,0,0.0,Cameroon
2018-10-29,8/27/2018,10/29/2018,0,0,0,,Cameroon
2018-11-02,10/11/2018,11/2/2018,0,0,0,,Cameroon
2018-11-02,10/31/2018,11/2/2018,129,56,0,0.0,Cameroon
2018-11-02,8/27/2018,11/2/2018,0,0,0,,Cameroon
2018-11-04,10/29/2018,11/4/2018,258,70,2,2.857142857142857,Cameroon
2018-11-09,10/11/2018,11/9/2018,0,0,0,,Cameroon
2018-11-09,11/2/2018,11/9/2018,134,7,0,0.0,Cameroon
2018-11-09,8/27/2018,11/9/2018,0,0,0,,Cameroon
2018-11-11,11/5/2018,11/11/2018,121,27,1,3.7037037037037033,Cameroon
2018-11-18,11/12/2018,11/18/2018,72,8,0,0.0,Cameroon
2018-11-23,10/11/2018,11/23/2018,0,0,0,,Cameroon
2018-11-23,11/18/2018,11/23/2018,74,45,1,2.2222222222222223,Cameroon
2018-11-23,8/27/2018,11/23/2018,0,0,0,,Cameroon
2018-11-25,11/19/2018,11/25/2018,95,30,0,0.0,Cameroon
2018-11-28,11/23/2018,11/28/2018,113,57,2,3.508771929824561,Cameroon
2018-12-02,11/26/2018,12/2/2018,58,24,0,0.0,Cameroon
2018-12-09,12/3/2018,12/9/2018,39,0,0,,Cameroon
2018-12-16,12/10/2018,12/16/2018,53,31,1,3.225806451612903,Cameroon
2018-12-19,10/11/2018,12/19/2018,0,0,0,,Cameroon
2018-12-19,8/27/2018,12/19/2018,0,0,0,,Cameroon
2018-12-23,12/17/2018,12/23/2018,149,64,2,3.125,Cameroon
2018-12-30,12/24/2018,12/30/2018,50,0,0,,Cameroon
2018-12-31,5/18/2018,12/31/2018,36,14,0,0.0,Cameroon
2019-01-06,12/31/2018,1/6/2019,30,19,0,0.0,Cameroon
2019-01-13,1/7/2019,1/13/2019,0,0,0,,Cameroon
2019-01-20,1/14/2019,1/20/2019,45,13,0,0.0,Cameroon
2019-01-27,1/21/2019,1/27/2019,42,0,0,,Cameroon
2019-02-03,1/28/2019,2/3/2019,0,0,0,,Cameroon
2019-02-10,2/4/2019,2/10/2019,0,0,0,,Cameroon
2019-02-17,2/11/2019,2/17/2019,18,10,0,0.0,Cameroon
2019-02-24,2/18/2019,2/24/2019,14,5,0,0.0,Cameroon
2019-03-03,2/25/2019,3/3/2019,119,41,0,0.0,Cameroon
2019-03-10,3/4/2019,3/10/2019,22,10,0,0.0,Cameroon
2019-03-17,3/11/2019,3/17/2019,38,0,0,,Cameroon
2019-03-24,3/18/2019,3/24/2019,62,0,0,,Cameroon
2019-03-31,3/25/2019,3/31/2019,28,11,0,0.0,Cameroon
2019-04-07,4/1/2019,4/7/2019,87,16,0,0.0,Cameroon
2019-04-14,4/8/2019,4/14/2019,47,28,0,0.0,Cameroon
2019-04-21,4/15/2019,4/21/2019,58,25,0,0.0,Cameroon
2019-04-28,4/22/2019,4/28/2019,0,0,0,,Cameroon
2019-05-05,4/29/2019,5/5/2019,253,109,1,0.9174311926605505,Cameroon
2019-05-12,5/6/2019,5/12/2019,32,16,0,0.0,Cameroon
2019-05-15,5/1/2019,5/15/2019,207,0,0,,Cameroon
2019-05-19,5/13/2019,5/19/2019,146,39,0,0.0,Cameroon
2019-05-26,5/20/2019,5/26/2019,46,28,1,3.571428571428571,Cameroon
2019-06-02,5/27/2019,6/2/2019,32,9,0,0.0,Cameroon
2019-06-09,6/3/2019,6/9/2019,83,24,0,0.0,Cameroon
2019-06-16,6/10/2019,6/16/2019,83,37,1,2.7027027027027026,Cameroon
2019-06-23,6/17/2019,6/23/2019,46,22,1,4.545454545454546,Cameroon
2019-06-30,6/24/2019,6/30/2019,208,72,1,1.3888888888888888,Cameroon
2019-07-07,7/1/2019,7/7/2019,103,49,3,6.122448979591836,Cameroon
2019-07-14,7/8/2019,7/14/2019,151,66,2,3.0303030303030303,Cameroon
2019-07-21,7/15/2019,7/21/2019,136,48,1,2.083333333333333,Cameroon
2019-07-28,7/22/2019,7/28/2019,112,35,1,2.857142857142857,Cameroon
2019-08-04,7/29/2019,8/4/2019,28,1,0,0.0,Cameroon
2019-08-11,8/5/2019,8/11/2019,61,32,1,3.125,Cameroon
2019-08-18,8/12/2019,8/18/2019,204,79,0,0.0,Cameroon
2019-08-25,8/19/2019,8/25/2019,144,36,0,0.0,Cameroon
2019-09-01,8/26/2019,9/1/2019,101,67,1,1.4925373134328357,Cameroon
2019-09-08,9/2/2019,9/8/2019,157,83,5,6.024096385542169,Cameroon
2019-09-15,9/9/2019,9/15/2019,163,36,1,2.7777777777777777,Cameroon
2019-09-22,9/16/2019,9/22/2019,199,102,2,1.9607843137254901,Cameroon
2019-09-29,9/23/2019,9/29/2019,5,3,0,0.0,Cameroon
2019-10-06,9/30/2019,10/6/2019,192,0,0,,Cameroon
2019-10-13,10/7/2019,10/13/2019,222,101,1,0.9900990099009901,Cameroon
2019-10-20,10/14/2019,10/20/2019,54,30,1,3.3333333333333335,Cameroon
2019-10-27,10/21/2019,10/27/2019,221,117,5,4.273504273504273,Cameroon
2019-11-03,10/28/2019,11/3/2019,67,34,0,0.0,Cameroon
2019-11-10,11/4/2019,11/10/2019,111,46,1,2.1739130434782608,Cameroon
2019-11-17,11/11/2019,11/17/2019,40,0,0,,Cameroon
2019-11-24,11/18/2019,11/24/2019,60,0,0,,Cameroon
2019-12-01,11/25/2019,12/1/2019,77,22,1,4.545454545454546,Cameroon
2019-12-07,12/1/2019,12/7/2019,120,0,0,,Cameroon
2019-12-08,12/2/2019,12/8/2019,0,0,0,,Cameroon
2019-12-15,12/9/2019,12/15/2019,186,33,0,0.0,Cameroon
2019-12-22,12/16/2019,12/22/2019,104,14,0,0.0,Cameroon
2019-12-29,12/23/2019,12/29/2019,47,0,0,,Cameroon
2019-12-29,12/31/2018,12/29/2019,195,45,0,0.0,Cameroon
2019-12-31,1/1/2019,12/31/2019,952,245,16,6.530612244897959,Cameroon
2020-01-04,1/4/2020,1/4/2020,0,0,0,,Cameroon
2020-01-05,1/5/2020,1/5/2020,24,6,0,0.0,Cameroon
2020-01-05,12/30/2019,1/5/2020,11,0,0,,Cameroon
2020-01-06,1/6/2020,1/6/2020,0,0,0,,Cameroon
2020-01-07,1/7/2020,1/7/2020,0,0,0,,Cameroon
2020-01-08,1/8/2020,1/8/2020,0,0,0,,Cameroon
2020-01-09,1/9/2020,1/9/2020,0,0,0,,Cameroon
2020-01-09,11/29/2019,1/9/2020,0,0,0,,Cameroon
2020-01-09,12/24/2019,1/9/2020,0,0,0,,Cameroon
2020-01-09,5/18/2018,1/9/2020,439,189,15,7.936507936507936,Cameroon
2020-01-10,1/10/2020,1/10/2020,66,21,0,0.0,Cameroon
2020-01-11,1/11/2020,1/11/2020,0,0,0,,Cameroon
2020-01-12,1/12/2020,1/12/2020,0,0,0,,Cameroon
2020-01-12,1/6/2020,1/12/2020,20,4,0,0.0,Cameroon
2020-01-13,1/13/2020,1/13/2020,1,0,0,,Cameroon
2020-01-14,1/14/2020,1/14/2020,9,0,0,,Cameroon
2020-01-15,1/15/2020,1/15/2020,0,0,0,,Cameroon
2020-01-16,1/16/2020,1/16/2020,20,6,0,0.0,Cameroon
2020-01-17,1/17/2020,1/17/2020,0,0,0,,Cameroon
2020-01-18,1/18/2020,1/18/2020,0,0,0,,Cameroon
2020-01-19,1/13/2020,1/19/2020,0,0,0,,Cameroon
2020-01-19,1/19/2020,1/19/2020,0,0,0,,Cameroon
2020-01-20,1/20/2020,1/20/2020,100,51,1,1.9607843137254901,Cameroon
2020-01-20,11/25/2019,1/20/2020,0,0,0,,Cameroon
2020-01-20,12/16/2019,1/20/2020,0,0,0,,Cameroon
2020-01-20,5/18/2018,1/20/2020,16,4,0,0.0,Cameroon
2020-01-21,1/21/2020,1/21/2020,0,0,0,,Cameroon
2020-01-22,1/22/2020,1/22/2020,0,0,0,,Cameroon
2020-01-23,1/23/2020,1/23/2020,8,2,0,0.0,Cameroon
2020-01-24,1/24/2020,1/24/2020,19,0,0,,Cameroon
2020-01-25,1/25/2020,1/25/2020,17,10,0,0.0,Cameroon
2020-01-26,1/20/2020,1/26/2020,23,0,0,,Cameroon
2020-01-26,1/21/2020,1/26/2020,22,8,0,0.0,Cameroon
2020-01-26,11/25/2019,1/26/2020,0,0,0,,Cameroon
2020-01-26,12/16/2019,1/26/2020,0,0,0,,Cameroon
2020-01-26,5/18/2018,1/26/2020,72,19,1,5.263157894736842,Cameroon
2020-01-28,1/1/2020,1/28/2020,400,180,12,6.666666666666667,Cameroon
2020-02-02,1/27/2020,2/2/2020,0,0,0,,Cameroon
2020-02-09,2/3/2020,2/9/2020,17,0,0,,Cameroon
2020-02-16,2/10/2020,2/16/2020,44,7,0,0.0,Cameroon
2020-02-23,2/17/2020,2/23/2020,63,4,0,0.0,Cameroon
2020-03-01,2/24/2020,3/1/2020,0,0,0,,Cameroon
2020-03-08,3/2/2020,3/8/2020,0,0,0,,Cameroon
2020-03-15,3/9/2020,3/15/2020,0,0,0,,Cameroon
2020-03-22,3/16/2020,3/22/2020,0,0,0,,Cameroon
2020-03-29,3/23/2020,3/29/2020,36,0,0,,Cameroon
2020-04-05,3/30/2020,4/5/2020,0,0,0,,Cameroon
2020-04-12,4/6/2020,4/12/2020,0,0,0,,Cameroon
2020-04-19,4/13/2020,4/19/2020,75,22,0,0.0,Cameroon
2020-04-26,4/20/2020,4/26/2020,0,0,0,,Cameroon
2020-05-03,4/27/2020,5/3/2020,80,20,1,5.0,Cameroon
2020-05-10,5/4/2020,5/10/2020,258,94,2,2.127659574468085,Cameroon
2020-05-17,5/11/2020,5/17/2020,66,34,1,2.941176470588235,Cameroon
2020-05-18,11/11/2019,5/18/2020,0,0,0,,Cameroon
2020-05-24,5/18/2020,5/24/2020,34,0,0,,Cameroon
2020-05-31,5/25/2020,5/31/2020,15,0,0,,Cameroon
2020-06-07,6/1/2020,6/7/2020,57,15,1,6.666666666666667,Cameroon
2020-06-14,6/8/2020,6/14/2020,95,21,1,4.761904761904762,Cameroon
2020-06-19,2/10/2020,6/19/2020,15,7,0,0.0,Cameroon
2020-06-21,6/15/2020,6/21/2020,75,46,1,2.1739130434782608,Cameroon
2020-06-28,6/22/2020,6/28/2020,72,28,2,7.142857142857142,Cameroon
2020-07-05,6/29/2020,7/5/2020,119,27,2,7.4074074074074066,Cameroon
2020-07-12,7/6/2020,7/12/2020,111,35,1,2.857142857142857,Cameroon
2020-07-13,2/10/2020,7/13/2020,93,0,0,,Cameroon
2020-07-19,7/13/2020,7/19/2020,188,54,1,1.8518518518518516,Cameroon
2020-07-24,2/10/2020,7/24/2020,0,0,0,,Cameroon
2020-07-26,7/20/2020,7/26/2020,95,65,3,4.615384615384616,Cameroon
2020-07-28,2/10/2020,7/28/2020,48,0,0,,Cameroon
2020-07-29,2/10/2020,7/29/2020,29,0,0,,Cameroon
2020-08-02,7/27/2020,8/2/2020,113,36,1,2.7777777777777777,Cameroon
2020-08-09,8/3/2020,8/9/2020,150,64,3,4.6875,Cameroon
2020-08-10,2/10/2020,8/10/2020,139,0,0,,Cameroon
2020-08-16,8/10/2020,8/16/2020,86,32,0,0.0,Cameroon
2020-08-23,8/17/2020,8/23/2020,200,75,0,0.0,Cameroon
2020-08-30,8/24/2020,8/30/2020,99,42,0,0.0,Cameroon
2020-09-06,8/31/2020,9/6/2020,101,25,1,4.0,Cameroon
2020-09-11,9/11/2020,9/11/2020,0,0,0,,Cameroon
2020-09-12,9/12/2020,9/12/2020,0,0,0,,Cameroon
2020-09-13,9/13/2020,9/13/2020,0,0,0,,Cameroon
2020-09-13,9/7/2020,9/13/2020,129,54,1,1.8518518518518516,Cameroon
2020-09-14,9/14/2020,9/14/2020,85,43,1,2.3255813953488373,Cameroon
2020-09-15,9/15/2020,9/15/2020,126,69,0,0.0,Cameroon
2020-09-16,9/16/2020,9/16/2020,33,13,0,0.0,Cameroon
2020-09-17,9/15/2020,9/17/2020,74,42,0,0.0,Cameroon
2020-09-18,9/18/2020,9/18/2020,0,0,0,,Cameroon
2020-09-19,9/19/2020,9/19/2020,0,0,0,,Cameroon
2020-09-20,11/11/2019,9/20/2020,39,26,1,3.8461538461538463,Cameroon
2020-09-20,9/14/2020,9/20/2020,224,148,2,1.3513513513513513,Cameroon
2020-09-21,9/21/2020,9/21/2020,0,0,0,,Cameroon
2020-09-22,9/22/2020,9/22/2020,0,0,0,,Cameroon
2020-09-23,9/11/2020,9/23/2020,47,0,0,,Cameroon
2020-09-27,1/1/2020,9/27/2020,132,38,3,7.894736842105263,Cameroon
2020-09-27,9/21/2020,9/27/2020,140,0,0,,Cameroon
2020-10-04,9/28/2020,10/4/2020,103,60,0,0.0,Cameroon
2020-10-11,10/5/2020,10/11/2020,109,63,1,1.5873015873015872,Cameroon
2020-10-18,10/12/2020,10/18/2020,162,41,0,0.0,Cameroon
2020-10-25,1/1/2020,10/25/2020,858,20,1,5.0,Cameroon
2020-11-01,10/26/2020,11/1/2020,0,0,0,,Cameroon
2020-11-06,2/10/2020,11/6/2020,0,0,0,,Cameroon
2020-11-08,11/2/2020,11/8/2020,0,0,0,,Cameroon
2020-11-15,11/9/2020,11/15/2020,0,0,0,,Cameroon
2020-11-22,11/16/2020,11/22/2020,0,0,0,,Cameroon
2020-11-29,11/23/2020,11/29/2020,0,0,0,,Cameroon
2020-12-06,11/30/2020,12/6/2020,0,0,0,,Cameroon
2020-12-16,5/18/2018,12/16/2020,2968,969,77,7.946336429308566,Cameroon
2021-10-03,1/1/2021,10/3/2021,179,62,0,0.0,Cameroon
2021-11-02,1/1/2021,11/2/2021,105,19,1,5.263157894736842,Cameroon
2022-01-09,1/3/2022,1/9/2022,57,16,0,0.0,Cameroon
2022-01-16,1/10/2022,1/16/2022,158,67,2,2.9850746268656714,Cameroon
2022-01-23,1/17/2022,1/23/2022,108,0,0,,Cameroon
2022-01-30,1/24/2022,1/30/2022,37,0,0,,Cameroon
2022-02-06,1/31/2022,2/6/2022,190,0,0,,Cameroon
2022-02-13,2/7/2022,2/13/2022,150,28,0,0.0,Cameroon
2022-02-20,2/14/2022,2/20/2022,42,12,0,0.0,Cameroon
2022-02-27,2/21/2022,2/27/2022,125,0,0,,Cameroon
2022-03-06,1/24/2021,3/6/2022,0,0,0,,Cameroon
2022-03-06,2/28/2022,3/6/2022,208,84,5,5.952380952380952,Cameroon
2022-03-13,3/7/2022,3/13/2022,187,41,1,2.4390243902439024,Cameroon
2022-03-20,3/14/2022,3/20/2022,206,126,1,0.7936507936507936,Cameroon
2022-03-27,3/21/2022,3/27/2022,1352,139,1,0.7194244604316548,Cameroon
2022-04-03,3/28/2022,4/3/2022,858,126,4,3.1746031746031744,Cameroon
2022-04-10,4/4/2022,4/10/2022,602,259,4,1.5444015444015444,Cameroon
2022-04-17,4/11/2022,4/17/2022,0,0,0,,Cameroon
