Region,reporting_date,TL,TR,sCh,cCh,deaths,CFR,rainfall_avg,temperature_avg,humidity_avg
Adamaoua,2015-06-07,2015-06-01,2015-06-07,0,0,0,0.0,7.6971428571428575,23.257142857142856,80.09428571428573
Adamaoua,2015-06-14,2015-06-08,2015-06-14,0,0,0,0.0,3.89,22.842857142857145,79.13571428571427
Adamaoua,2015-06-21,2015-06-15,2015-06-21,39,21,0,0.0,4.112857142857143,23.045714285714286,79.5442857142857
Adamaoua,2015-06-28,2015-06-22,2015-06-28,0,0,0,0.0,11.10714285714286,22.514285714285712,80.54571428571428
Adamaoua,2015-07-05,2015-06-29,2015-07-05,0,0,0,0.0,7.657142857142858,22.139999999999997,84.73285714285714
Adamaoua,2015-07-12,2015-07-06,2015-07-12,44,0,0,0.0,4.4314285714285715,22.898571428571426,81.1857142857143
Adamaoua,2015-07-19,2015-07-13,2015-07-19,0,0,0,0.0,9.547142857142857,22.55,83.66285714285716
Adamaoua,2015-07-26,2015-07-20,2015-07-26,102,46,1,2.1739130434782608,9.922857142857142,21.712857142857143,85.59714285714287
Adamaoua,2015-08-02,2015-07-27,2015-08-02,38,20,0,0.0,8.9,21.174285714285713,87.61285714285714
Adamaoua,2015-08-09,2015-08-03,2015-08-09,5,1,0,0.0,15.077142857142857,21.298571428571428,87.12571428571428
Adamaoua,2015-08-16,2015-08-10,2015-08-16,43,17,0,0.0,11.781428571428572,21.88571428571429,86.92
Adamaoua,2015-08-23,2015-08-17,2015-08-23,104,66,2,3.0303030303030303,9.245714285714286,21.647142857142857,85.00142857142858
Adamaoua,2015-08-30,2015-08-24,2015-08-30,116,46,1,2.1739130434782608,16.87857142857143,21.50857142857143,87.11
Adamaoua,2015-09-06,2015-08-31,2015-09-06,170,100,1,1.0,18.59857142857143,21.717142857142854,85.91857142857144
Adamaoua,2015-09-13,2015-09-07,2015-09-13,79,42,0,0.0,5.008571428571428,21.95,85.17142857142858
Adamaoua,2015-09-20,2015-09-14,2015-09-20,0,0,0,0.0,14.204285714285716,21.56142857142857,86.85714285714286
Adamaoua,2015-09-27,2015-09-21,2015-09-27,75,24,0,0.0,2.4771428571428573,21.902857142857147,84.07571428571428
Adamaoua,2015-10-04,2015-09-28,2015-10-04,0,0,0,0.0,8.912857142857144,22.118571428571425,83.92142857142858
Adamaoua,2015-10-11,2015-10-05,2015-10-11,91,50,0,0.0,3.829999999999999,22.03142857142857,84.04857142857144
Adamaoua,2015-10-18,2015-10-12,2015-10-18,55,15,0,0.0,5.047142857142857,22.665714285714284,81.43571428571428
Adamaoua,2015-10-25,2015-10-19,2015-10-25,75,0,1,0.0,3.5685714285714285,22.154285714285717,82.31428571428572
Adamaoua,2015-11-01,2015-10-26,2015-11-01,22,0,0,0.0,3.307142857142857,21.58857142857143,87.31142857142858
Adamaoua,2015-11-08,2015-11-02,2015-11-08,122,31,0,0.0,0.7628571428571428,22.178571428571427,78.80999999999999
Adamaoua,2015-11-15,2015-11-09,2015-11-15,37,0,0,0.0,0.011428571428571429,21.55857142857143,71.42571428571429
Adamaoua,2015-11-22,2015-11-16,2015-11-22,52,0,0,0.0,0.0,21.352857142857143,65.23142857142857
Adamaoua,2015-11-29,2015-11-23,2015-11-29,0,0,0,0.0,0.0,21.387142857142855,60.46
Adamaoua,2015-12-06,2015-11-30,2015-12-06,0,0,0,0.0,0.0,19.710000000000004,59.26714285714286
Adamaoua,2015-12-13,2015-12-07,2015-12-13,35,0,0,0.0,0.0,18.648571428571426,56.371428571428574
Adamaoua,2015-12-20,2015-12-14,2015-12-20,0,0,0,0.0,0.0,17.855714285714285,48.50857142857143
Adamaoua,2015-12-27,2015-12-21,2015-12-27,0,0,0,0.0,0.0,18.220000000000002,53.48142857142857
Adamaoua,2016-01-10,2016-01-04,2016-01-10,38,22,0,0.0,0.0,21.574285714285715,44.86428571428571
Adamaoua,2016-01-17,2016-01-11,2016-01-17,15,3,0,0.0,0.0,21.83857142857143,38.38142857142857
Adamaoua,2016-01-24,2016-01-18,2016-01-24,0,0,0,0.0,0.0,20.107142857142858,38.79428571428572
Adamaoua,2016-01-31,2016-01-25,2016-01-31,0,0,0,0.0,0.0,18.231428571428573,42.739999999999995
Adamaoua,2016-02-07,2016-02-01,2016-02-07,23,6,0,0.0,0.0,21.53142857142857,41.03857142857142
Adamaoua,2016-02-14,2016-02-08,2016-02-14,0,0,0,0.0,0.0,20.759999999999998,34.96285714285714
Adamaoua,2016-02-21,2016-02-15,2016-02-21,0,0,0,0.0,0.0,25.042857142857144,30.58571428571429
Adamaoua,2016-02-28,2016-02-22,2016-02-28,10,4,0,0.0,0.0,25.052857142857142,31.69857142857143
Adamaoua,2016-03-06,2016-02-29,2016-03-06,76,37,1,2.702702702702702,0.015714285714285715,27.400000000000002,45.21428571428571
Adamaoua,2016-03-13,2016-03-07,2016-03-13,235,125,2,1.6,0.5171428571428571,27.16142857142857,52.395714285714284
Adamaoua,2016-03-20,2016-03-14,2016-03-20,0,0,0,0.0,1.0985714285714285,26.615714285714287,55.64000000000001
Adamaoua,2016-03-27,2016-03-21,2016-03-27,29,8,0,0.0,4.27,26.387142857142862,63.04571428571428
Adamaoua,2016-04-03,2016-03-28,2016-04-03,0,0,0,0.0,0.009999999999999998,26.504285714285714,48.76
Adamaoua,2016-04-10,2016-04-04,2016-04-10,0,0,0,0.0,7.0442857142857145,25.232857142857142,70.03285714285714
Adamaoua,2016-04-17,2016-04-11,2016-04-17,54,30,1,3.333333333333333,3.718571428571429,24.494285714285716,77.03571428571429
Adamaoua,2016-04-24,2016-04-18,2016-04-24,0,0,0,0.0,1.9299999999999997,25.110000000000003,61.06285714285715
Adamaoua,2016-05-01,2016-04-25,2016-05-01,0,0,0,0.0,10.034285714285716,24.10571428571429,79.01142857142857
Adamaoua,2016-05-08,2016-05-02,2016-05-08,250,79,3,3.79746835443038,3.2314285714285718,24.078571428571426,77.95714285714287
Adamaoua,2016-05-15,2016-05-09,2016-05-15,82,32,1,3.125,8.928571428571429,23.898571428571426,79.98142857142857
Adamaoua,2016-05-22,2016-05-16,2016-05-22,36,0,0,0.0,7.441428571428572,23.27,82.58714285714287
Adamaoua,2016-05-29,2016-05-23,2016-05-29,0,0,0,0.0,12.282857142857143,22.80428571428572,82.54714285714286
Adamaoua,2016-06-05,2016-05-30,2016-06-05,27,11,0,0.0,12.984285714285715,22.994285714285713,81.08285714285715
Adamaoua,2016-06-12,2016-06-06,2016-06-12,84,28,0,0.0,9.212857142857144,23.33428571428571,83.46571428571428
Adamaoua,2016-06-19,2016-06-13,2016-06-19,0,0,0,0.0,7.47,22.104285714285712,82.11714285714285
Adamaoua,2016-06-26,2016-06-20,2016-06-26,76,38,1,2.631578947368421,6.961428571428571,21.29285714285714,85.93142857142857
Adamaoua,2016-07-03,2016-06-27,2016-07-03,0,0,0,0.0,6.9557142857142855,21.908571428571427,85.68714285714285
Adamaoua,2016-07-10,2016-07-04,2016-07-10,0,0,0,0.0,7.667142857142856,22.142857142857142,84.80857142857143
Adamaoua,2016-07-17,2016-07-11,2016-07-17,38,23,1,4.3478260869565215,10.09,20.64428571428571,89.0342857142857
Adamaoua,2016-07-24,2016-07-18,2016-07-24,0,0,0,0.0,10.467142857142857,21.060000000000002,88.32285714285715
Adamaoua,2016-07-31,2016-07-25,2016-07-31,0,0,0,0.0,16.39428571428571,20.822857142857142,89.01285714285714
Adamaoua,2016-08-07,2016-08-01,2016-08-07,0,0,0,0.0,7.2700000000000005,21.599999999999998,86.75999999999999
Adamaoua,2016-08-14,2016-08-08,2016-08-14,65,0,0,0.0,15.492857142857144,21.240000000000002,88.73571428571428
Adamaoua,2016-08-21,2016-08-15,2016-08-21,0,0,0,0.0,6.848571428571428,21.901428571428575,84.21285714285715
Adamaoua,2016-08-28,2016-08-22,2016-08-28,0,0,0,0.0,16.01,21.004285714285714,88.21142857142857
Adamaoua,2016-09-04,2016-08-29,2016-09-04,48,0,0,0.0,29.830000000000002,21.442857142857143,88.46142857142858
Adamaoua,2016-09-11,2016-09-05,2016-09-11,0,0,0,0.0,6.99857142857143,22.17285714285714,87.11714285714285
Adamaoua,2016-09-18,2016-09-12,2016-09-18,150,97,3,3.09278350515464,13.151428571428571,21.384285714285713,86.3442857142857
Adamaoua,2016-09-25,2016-09-19,2016-09-25,105,33,0,0.0,8.432857142857143,21.497142857142858,88.30142857142856
Adamaoua,2016-10-02,2016-09-26,2016-10-02,106,3,0,0.0,6.047142857142857,21.965714285714284,84.85714285714286
Adamaoua,2016-10-09,2016-10-03,2016-10-09,112,0,0,0.0,4.8100000000000005,21.898571428571426,86.50857142857141
Adamaoua,2016-10-16,2016-10-10,2016-10-16,40,21,0,0.0,5.782857142857144,22.472857142857144,82.57428571428571
Adamaoua,2016-10-23,2016-10-17,2016-10-23,101,0,0,0.0,4.658571428571428,22.141428571428573,80.82571428571428
Adamaoua,2016-10-30,2016-10-24,2016-10-30,0,0,0,0.0,1.182857142857143,22.12857142857143,78.95857142857143
Adamaoua,2016-11-06,2016-10-31,2016-11-06,0,0,0,0.0,0.20142857142857143,22.3,76.59857142857143
Adamaoua,2016-11-13,2016-11-07,2016-11-13,0,0,0,0.0,0.0,21.419999999999998,65.55857142857143
Adamaoua,2016-11-20,2016-11-14,2016-11-20,34,19,0,0.0,0.07,22.181428571428572,73.25142857142858
Adamaoua,2016-11-27,2016-11-21,2016-11-27,0,0,0,0.0,0.0,22.527142857142856,68.83857142857144
Adamaoua,2016-12-04,2016-11-28,2016-12-04,16,10,0,0.0,0.008571428571428572,22.384285714285713,58.894285714285715
Adamaoua,2016-12-11,2016-12-05,2016-12-11,40,13,0,0.0,0.0,21.962857142857143,63.97428571428571
Adamaoua,2016-12-18,2016-12-12,2016-12-18,0,0,0,0.0,0.0,21.225714285714286,57.034285714285716
Adamaoua,2016-12-25,2016-12-19,2016-12-25,0,0,0,0.0,0.0,20.740000000000002,54.51571428571429
Adamaoua,2017-01-01,2016-12-26,2017-01-01,8,0,0,0.0,0.0,19.74142857142857,49.02571428571429
Adamaoua,2017-01-08,2017-01-02,2017-01-08,17,0,0,0.0,0.0,20.84142857142857,47.21142857142858
Adamaoua,2017-01-15,2017-01-09,2017-01-15,41,17,0,0.0,0.0,21.512857142857143,46.98
Adamaoua,2017-01-22,2017-01-16,2017-01-22,27,0,0,0.0,0.0014285714285714286,23.727142857142855,43.15714285714286
Adamaoua,2017-01-29,2017-01-23,2017-01-29,0,0,0,0.0,0.0,23.982857142857146,48.72285714285714
Adamaoua,2017-02-05,2017-01-30,2017-02-05,57,0,0,0.0,0.0,22.672857142857143,39.32142857142857
Adamaoua,2017-02-12,2017-02-06,2017-02-12,128,12,0,0.0,0.0,22.794285714285714,34.19571428571429
Adamaoua,2017-02-19,2017-02-13,2017-02-19,0,0,0,0.0,0.0,20.93,37.660000000000004
Adamaoua,2017-02-26,2017-02-20,2017-02-26,78,35,1,2.857142857142857,0.0,23.099999999999998,37.38428571428572
Adamaoua,2017-03-05,2017-02-27,2017-03-05,79,29,0,0.0,0.0014285714285714286,24.689999999999998,30.274285714285707
Adamaoua,2017-03-12,2017-03-06,2017-03-12,63,0,0,0.0,0.0,25.064285714285713,38.02428571428572
Adamaoua,2017-03-19,2017-03-13,2017-03-19,39,14,0,0.0,0.0,26.17428571428571,31.031428571428574
Adamaoua,2017-03-26,2017-03-20,2017-03-26,26,17,0,0.0,0.02428571428571429,26.83428571428571,47.548571428571435
Adamaoua,2017-04-02,2017-03-27,2017-04-02,1,1,0,0.0,0.2928571428571428,26.924285714285713,46.65857142857142
Adamaoua,2017-04-09,2017-04-03,2017-04-09,32,13,0,0.0,0.26571428571428574,27.125714285714288,55.447142857142865
Adamaoua,2017-04-16,2017-04-10,2017-04-16,0,0,0,0.0,5.994285714285715,24.311428571428568,73.70857142857143
Adamaoua,2017-04-23,2017-04-17,2017-04-23,70,0,0,0.0,5.614285714285714,24.282857142857143,73.42285714285715
Adamaoua,2017-04-30,2017-04-24,2017-04-30,0,0,0,0.0,4.565714285714286,24.88857142857143,70.63857142857141
Adamaoua,2017-05-07,2017-05-01,2017-05-07,17,0,0,0.0,11.110000000000001,23.73,78.38857142857144
Adamaoua,2017-05-14,2017-05-08,2017-05-14,91,10,0,0.0,7.3428571428571425,23.521428571428572,78.89999999999999
Adamaoua,2017-05-21,2017-05-15,2017-05-21,0,0,0,0.0,19.74,22.770000000000003,83.90142857142857
Adamaoua,2017-05-28,2017-05-22,2017-05-28,0,0,0,0.0,7.485714285714287,23.228571428571428,81.75714285714287
Adamaoua,2017-06-04,2017-05-29,2017-06-04,102,45,2,4.444444444444445,9.47857142857143,22.957142857142856,84.54857142857142
Adamaoua,2017-06-11,2017-06-05,2017-06-11,131,72,1,1.3888888888888888,3.1342857142857143,23.434285714285718,79.16
Adamaoua,2017-06-18,2017-06-12,2017-06-18,0,0,0,0.0,25.382857142857148,22.062857142857144,85.99571428571427
Adamaoua,2017-06-25,2017-06-19,2017-06-25,0,0,0,0.0,4.827142857142857,22.0,83.47
Adamaoua,2017-07-02,2017-06-26,2017-07-02,127,68,1,1.4705882352941175,5.288571428571428,22.11285714285714,83.7
Adamaoua,2017-07-09,2017-07-03,2017-07-09,31,14,0,0.0,6.652857142857143,21.524285714285714,85.45714285714287
Adamaoua,2017-07-16,2017-07-10,2017-07-16,0,0,0,0.0,9.934285714285712,21.18857142857143,86.74428571428572
Adamaoua,2017-07-23,2017-07-17,2017-07-23,0,0,0,0.0,20.012857142857143,21.81,85.10142857142857
Adamaoua,2017-07-30,2017-07-24,2017-07-30,27,16,0,0.0,7.4871428571428575,21.852857142857143,84.40285714285713
Adamaoua,2017-08-06,2017-07-31,2017-08-06,134,79,1,1.2658227848101269,14.382857142857144,21.40142857142857,87.45714285714284
Adamaoua,2017-08-13,2017-08-07,2017-08-13,0,0,0,0.0,19.465714285714288,21.661428571428576,83.71714285714286
Adamaoua,2017-08-20,2017-08-14,2017-08-20,123,24,0,0.0,4.738571428571428,21.334285714285716,87.2757142857143
Adamaoua,2017-08-27,2017-08-21,2017-08-27,90,48,1,2.083333333333333,21.052857142857142,21.08857142857143,88.52000000000001
Adamaoua,2017-09-03,2017-08-28,2017-09-03,0,0,0,0.0,5.981428571428571,21.029999999999998,87.31285714285715
Adamaoua,2017-09-10,2017-09-04,2017-09-10,32,13,0,0.0,8.79857142857143,21.004285714285714,87.34
Adamaoua,2017-09-17,2017-09-11,2017-09-17,164,61,0,0.0,21.46,21.632857142857144,84.81857142857143
Adamaoua,2017-09-24,2017-09-18,2017-09-24,36,13,0,0.0,17.484285714285715,21.694285714285712,86.98428571428573
Adamaoua,2017-10-01,2017-09-25,2017-10-01,15,8,0,0.0,14.410000000000002,21.635714285714283,86.21285714285715
Adamaoua,2017-10-08,2017-10-02,2017-10-08,40,19,0,0.0,6.7557142857142845,22.302857142857142,84.25857142857144
Adamaoua,2017-10-15,2017-10-09,2017-10-15,0,0,0,0.0,3.675714285714286,22.255714285714287,82.80285714285715
Adamaoua,2017-10-22,2017-10-16,2017-10-22,117,37,0,0.0,0.9614285714285715,22.388571428571428,82.73571428571428
Adamaoua,2017-10-29,2017-10-23,2017-10-29,33,10,0,0.0,0.07571428571428572,22.24571428571429,78.1942857142857
Adamaoua,2017-11-05,2017-10-30,2017-11-05,20,4,0,0.0,1.25,22.062857142857144,79.16999999999999
Adamaoua,2017-11-12,2017-11-06,2017-11-12,32,0,0,0.0,0.1285714285714286,22.032857142857143,72.89714285714285
Adamaoua,2017-11-19,2017-11-13,2017-11-19,56,17,0,0.0,4.121428571428571,22.768571428571423,75.37
Adamaoua,2017-11-26,2017-11-20,2017-11-26,0,0,0,0.0,0.05714285714285714,21.65285714285714,69.99714285714286
Adamaoua,2017-12-03,2017-11-27,2017-12-03,41,10,0,0.0,0.0,21.104285714285712,63.3657142857143
Adamaoua,2017-12-10,2017-12-04,2017-12-10,43,18,0,0.0,0.0,21.29,60.19714285714286
Adamaoua,2017-12-17,2017-12-11,2017-12-17,0,0,0,0.0,0.0,21.634285714285713,61.31857142857143
Adamaoua,2017-12-24,2017-12-18,2017-12-24,0,0,0,0.0,0.0,22.254285714285714,56.498571428571424
Adamaoua,2017-12-31,2017-12-25,2017-12-31,19,9,0,0.0,0.0,20.185714285714283,52.964285714285715
Adamaoua,2018-08-26,2018-08-20,2018-08-26,44,0,0,0.0,10.925714285714283,20.43857142857143,91.13571428571429
Adamaoua,2019-12-29,2018-12-31,2019-12-29,0,0,0,0.0,5.264148351648351,22.60585164835165,71.21881868131868
Centre,2010-01-10,2010-01-04,2010-01-10,118,0,0,0.0,2.9499999999999997,22.927142857142858,62.724285714285706
Centre,2010-01-17,2010-01-11,2010-01-17,54,31,0,0.0,0.6742857142857143,23.587142857142858,68.61428571428573
Centre,2010-01-24,2010-01-18,2010-01-24,0,0,0,0.0,0.6428571428571429,23.93142857142857,56.87571428571429
Centre,2010-01-31,2010-01-25,2010-01-31,93,55,1,1.818181818181818,1.1042857142857143,26.184285714285714,67.21142857142857
Centre,2010-02-07,2010-02-01,2010-02-07,0,0,0,0.0,2.157142857142857,25.46857142857143,66.44857142857141
Centre,2010-02-14,2010-02-08,2010-02-14,103,42,0,0.0,2.1599999999999997,25.49285714285714,70.99285714285715
Centre,2010-02-21,2010-02-15,2010-02-21,10,0,0,0.0,0.41571428571428576,26.341428571428573,73.36285714285714
Centre,2010-02-28,2010-02-22,2010-02-28,66,14,0,0.0,4.928571428571429,25.870000000000005,79.46142857142857
Centre,2010-03-07,2010-03-01,2010-03-07,208,100,1,1.0,2.382857142857143,26.17285714285714,73.85428571428572
Centre,2010-03-14,2010-03-08,2010-03-14,147,48,1,2.083333333333333,6.244285714285715,24.762857142857147,85.57571428571428
Centre,2010-03-21,2010-03-15,2010-03-21,64,36,0,0.0,6.66857142857143,24.175714285714285,85.98571428571428
Centre,2010-03-28,2010-03-22,2010-03-28,24,12,0,0.0,3.09,24.032857142857143,79.27428571428571
Centre,2010-04-04,2010-03-29,2010-04-04,107,17,0,0.0,3.425714285714286,25.080000000000002,82.84857142857143
Centre,2010-04-11,2010-04-05,2010-04-11,346,70,1,1.4285714285714286,6.28142857142857,24.712857142857143,84.86
Centre,2010-04-18,2010-04-12,2010-04-18,210,32,1,3.125,5.7299999999999995,25.48428571428571,84.81714285714285
Centre,2010-04-25,2010-04-19,2010-04-25,0,0,0,0.0,7.707142857142857,24.47142857142857,88.97857142857143
Centre,2010-05-02,2010-04-26,2010-05-02,346,163,3,1.8404907975460123,5.998571428571428,24.16857142857143,88.73142857142857
Centre,2010-05-09,2010-05-03,2010-05-09,170,73,1,1.36986301369863,4.5114285714285725,24.24285714285714,87.69571428571429
Centre,2010-05-16,2010-05-10,2010-05-16,447,112,1,0.8928571428571428,4.7,24.50142857142857,87.64142857142858
Centre,2010-05-23,2010-05-17,2010-05-23,329,153,3,1.96078431372549,5.248571428571428,24.3,88.15857142857143
Centre,2010-05-30,2010-05-24,2010-05-30,285,127,1,0.7874015748031495,3.051428571428571,24.654285714285717,86.09
Centre,2010-06-06,2010-05-31,2010-06-06,77,17,0,0.0,6.545714285714285,23.432857142857138,88.88142857142859
Centre,2010-06-13,2010-06-07,2010-06-13,177,81,1,1.2345679012345678,1.5485714285714285,24.37857142857143,83.19000000000001
Centre,2010-06-20,2010-06-14,2010-06-20,374,138,3,2.1739130434782608,6.0,23.861428571428572,85.45142857142856
Centre,2010-06-27,2010-06-21,2010-06-27,384,130,2,1.5384615384615383,11.377142857142857,23.139999999999997,89.88285714285715
Centre,2010-07-04,2010-06-28,2010-07-04,200,100,0,0.0,5.834285714285714,23.167142857142856,88.28999999999999
Centre,2010-07-11,2010-07-05,2010-07-11,297,168,3,1.7857142857142856,6.840000000000001,22.458571428571425,89.89714285714285
Centre,2010-07-18,2010-07-12,2010-07-18,213,126,3,2.380952380952381,3.9699999999999998,22.78571428571428,88.22142857142858
Centre,2010-07-25,2010-07-19,2010-07-25,215,100,2,2.0,8.355714285714285,22.072857142857142,90.69571428571429
Centre,2010-08-01,2010-07-26,2010-08-01,202,85,2,2.3529411764705883,2.2614285714285716,22.548571428571424,88.40857142857142
Centre,2010-08-08,2010-08-02,2010-08-08,381,102,2,1.96078431372549,5.420000000000001,22.974285714285717,88.53857142857143
Centre,2010-08-15,2010-08-09,2010-08-15,112,10,0,0.0,8.117142857142857,22.288571428571426,88.65142857142857
Centre,2010-08-22,2010-08-16,2010-08-22,703,338,6,1.7751479289940828,10.624285714285715,22.547142857142855,89.22285714285714
Centre,2010-08-29,2010-08-23,2010-08-29,144,55,0,0.0,4.811428571428571,22.695714285714285,89.61714285714285
Centre,2010-09-05,2010-08-30,2010-09-05,143,40,0,0.0,3.337142857142857,22.642857142857142,88.94857142857144
Centre,2010-09-12,2010-09-06,2010-09-12,202,18,1,5.555555555555555,4.237142857142856,22.162857142857142,89.63571428571429
Centre,2010-09-19,2010-09-13,2010-09-19,169,20,0,0.0,3.7614285714285716,22.9,86.24714285714286
Centre,2010-09-26,2010-09-20,2010-09-26,662,301,7,2.3255813953488373,10.467142857142859,22.497142857142855,89.71571428571428
Centre,2010-10-03,2010-09-27,2010-10-03,403,130,2,1.5384615384615383,4.602857142857142,23.259999999999998,87.87571428571428
Centre,2010-10-10,2010-10-04,2010-10-10,383,51,1,1.96078431372549,4.581428571428572,23.33428571428571,86.88285714285715
Centre,2010-10-17,2010-10-11,2010-10-17,156,28,0,0.0,8.327142857142857,22.919999999999998,87.61
Centre,2010-10-24,2010-10-18,2010-10-24,575,129,2,1.550387596899225,9.752857142857144,22.45,91.65
Centre,2010-10-31,2010-10-25,2010-10-31,555,234,7,2.9914529914529915,7.185714285714285,23.444285714285716,86.30142857142857
Centre,2010-11-07,2010-11-01,2010-11-07,76,22,0,0.0,8.134285714285713,23.154285714285713,87.10857142857142
Centre,2010-11-14,2010-11-08,2010-11-14,198,18,0,0.0,3.895714285714285,23.67285714285714,84.67857142857143
Centre,2010-11-21,2010-11-15,2010-11-21,126,44,0,0.0,2.454285714285714,23.28142857142857,85.75142857142858
Centre,2010-11-28,2010-11-22,2010-11-28,83,39,1,2.564102564102564,2.2671428571428573,23.295714285714286,85.92142857142858
Centre,2010-12-05,2010-11-29,2010-12-05,247,60,1,1.6666666666666667,2.28,23.215714285714284,79.31285714285714
Centre,2010-12-12,2010-12-06,2010-12-12,117,19,0,0.0,0.2542857142857143,21.86714285714286,71.92571428571429
Centre,2010-12-19,2010-12-13,2010-12-19,19,5,0,0.0,0.027142857142857142,22.548571428571428,74.62142857142858
Centre,2010-12-26,2010-12-20,2010-12-26,0,0,0,0.0,1.012857142857143,21.849999999999998,75.36
Centre,2011-01-02,2010-12-27,2011-01-02,58,20,0,0.0,0.015714285714285715,21.765714285714285,73.17714285714285
Centre,2011-01-09,2011-01-03,2011-01-09,35,12,0,0.0,0.39714285714285713,22.009999999999998,73.18285714285715
Centre,2011-01-16,2011-01-10,2011-01-16,117,43,0,0.0,0.027142857142857142,21.054285714285715,66.82571428571428
Centre,2011-01-23,2011-01-17,2011-01-23,41,21,0,0.0,0.04142857142857143,21.732857142857142,65.17428571428572
Centre,2011-01-30,2011-01-24,2011-01-30,102,12,0,0.0,0.0,23.69857142857143,65.68285714285715
Centre,2011-02-06,2011-01-31,2011-02-06,61,20,0,0.0,0.6071428571428571,24.375714285714285,77.17999999999999
Centre,2011-02-13,2011-02-07,2011-02-13,38,0,0,0.0,0.3228571428571429,24.550000000000004,72.27857142857144
Centre,2011-02-20,2011-02-14,2011-02-20,105,13,1,7.6923076923076925,1.5185714285714287,24.67285714285714,78.11857142857141
Centre,2011-02-27,2011-02-21,2011-02-27,294,150,3,2.0,2.54,23.905714285714286,80.09142857142855
Centre,2011-03-06,2011-02-28,2011-03-06,307,131,3,2.2900763358778624,2.255714285714286,24.527142857142856,80.50571428571429
Centre,2011-03-13,2011-03-07,2011-03-13,205,72,1,1.3888888888888888,1.275714285714286,25.55,77.54857142857144
Centre,2011-03-20,2011-03-14,2011-03-20,274,72,2,2.7777777777777777,0.6257142857142857,25.75571428571428,73.45
Centre,2011-03-27,2011-03-21,2011-03-27,654,276,9,3.260869565217391,4.3028571428571425,24.095714285714283,83.00714285714287
Centre,2011-04-03,2011-03-28,2011-04-03,594,150,2,1.3333333333333337,1.8314285714285712,24.797142857142855,80.60714285714286
Centre,2011-04-10,2011-04-04,2011-04-10,644,195,4,2.051282051282051,4.587142857142857,24.354285714285716,82.03
Centre,2011-04-17,2011-04-11,2011-04-17,764,202,4,1.98019801980198,4.42,24.821428571428573,82.51571428571428
Centre,2011-04-24,2011-04-18,2011-04-24,765,257,4,1.556420233463035,4.792857142857143,24.04857142857143,88.51857142857143
Centre,2011-05-01,2011-04-25,2011-05-01,373,77,1,1.2987012987012987,2.571428571428572,23.970000000000002,87.07714285714285
Centre,2011-05-08,2011-05-02,2011-05-08,520,141,2,1.4184397163120568,4.332857142857143,24.35571428571428,86.76571428571428
Centre,2011-05-15,2011-05-09,2011-05-15,319,108,1,0.9259259259259258,4.791428571428571,24.165714285714284,86.44714285714284
Centre,2011-05-22,2011-05-16,2011-05-22,540,147,3,2.0408163265306123,4.281428571428571,24.118571428571425,88.51857142857143
Centre,2011-05-29,2011-05-23,2011-05-29,547,195,3,1.5384615384615383,4.452857142857142,23.29714285714286,87.72571428571429
Centre,2011-06-05,2011-05-30,2011-06-05,727,133,4,3.007518796992481,4.831428571428572,23.974285714285713,88.46857142857142
Centre,2011-06-12,2011-06-06,2011-06-12,204,54,1,1.851851851851852,1.4299999999999997,23.96142857142857,84.60857142857142
Centre,2011-06-19,2011-06-13,2011-06-19,479,142,4,2.8169014084507045,5.438571428571429,24.224285714285713,84.48000000000002
Centre,2011-06-26,2011-06-20,2011-06-26,617,201,3,1.4925373134328357,4.25,22.962857142857143,88.61
Centre,2011-07-03,2011-06-27,2011-07-03,117,66,0,0.0,5.607142857142857,22.94,88.32714285714289
Centre,2011-07-10,2011-07-04,2011-07-10,646,282,5,1.773049645390071,5.171428571428571,23.451428571428572,87.16
Centre,2011-07-17,2011-07-11,2011-07-17,545,179,4,2.23463687150838,3.4514285714285715,22.7,86.08428571428571
Centre,2011-07-24,2011-07-18,2011-07-24,664,338,7,2.071005917159764,6.622857142857143,22.891428571428573,87.22285714285715
Centre,2011-07-31,2011-07-25,2011-07-31,425,89,0,0.0,3.914285714285714,22.48857142857143,86.25000000000001
Centre,2011-08-07,2011-08-01,2011-08-07,799,75,2,2.666666666666667,9.725714285714286,22.352857142857147,90.64285714285714
Centre,2011-08-14,2011-08-08,2011-08-14,1222,658,11,1.6717325227963524,9.101428571428572,22.148571428571433,90.22
Centre,2011-08-21,2011-08-15,2011-08-21,319,165,4,2.4242424242424243,7.317142857142857,22.09,88.7757142857143
Centre,2011-08-28,2011-08-22,2011-08-28,336,125,3,2.4,8.862857142857143,22.390000000000004,88.86571428571429
Centre,2011-09-04,2011-08-29,2011-09-04,659,242,3,1.2396694214876034,10.024285714285712,22.03,90.85857142857144
Centre,2011-09-11,2011-09-05,2011-09-11,802,168,3,1.7857142857142856,7.204285714285713,22.351428571428574,90.73428571428572
Centre,2011-09-18,2011-09-12,2011-09-18,1179,487,9,1.8480492813141685,15.84,21.927142857142858,92.63142857142857
Centre,2011-09-25,2011-09-19,2011-09-25,583,205,5,2.4390243902439024,5.748571428571428,22.97142857142857,86.4057142857143
Centre,2011-10-02,2011-09-26,2011-10-02,514,142,2,1.4084507042253522,6.627142857142857,22.814285714285717,87.77285714285715
Centre,2011-10-09,2011-10-03,2011-10-09,810,269,9,3.3457249070631967,5.498571428571429,23.430000000000003,86.46428571428571
Centre,2011-10-16,2011-10-10,2011-10-16,882,248,6,2.419354838709677,10.094285714285714,22.774285714285718,90.34142857142858
