TL,TR,reporting_date,sCh,cCh,CFR
2018-06-26,2018-06-26,2018-06-26,0,0,
2018-06-27,2018-06-27,2018-06-27,54,16,6.25
2018-06-28,2018-06-28,2018-06-28,44,22,0.0
2018-06-29,2018-06-29,2018-06-29,0,0,
2018-06-30,2018-06-30,2018-06-30,27,14,0.0
2018-07-01,2018-07-01,2018-07-01,35,17,5.88
2018-07-02,2018-07-02,2018-07-02,41,0,
2018-07-03,2018-07-03,2018-07-03,0,0,
2018-07-04,2018-07-04,2018-07-04,16,5,0.0
2018-07-05,2018-07-05,2018-07-05,0,0,
2018-07-06,2018-07-06,2018-07-06,0,0,
2018-07-07,2018-07-07,2018-07-07,26,9,0.0
2018-07-08,2018-07-08,2018-07-08,97,57,1.75
2018-07-09,2018-07-09,2018-07-09,0,0,
2018-07-10,2018-07-10,2018-07-10,65,39,2.56
2018-07-11,2018-07-11,2018-07-11,0,0,
2018-07-12,2018-07-12,2018-07-12,0,0,
2018-07-13,2018-07-13,2018-07-13,12,0,
2018-07-14,2018-07-14,2018-07-14,29,18,0.0
2018-07-15,2018-07-15,2018-07-15,33,10,0.0
2018-07-16,2018-07-16,2018-07-16,32,0,
2018-07-17,2018-07-17,2018-07-17,22,0,
2018-07-18,2018-07-18,2018-07-18,70,42,2.38
2018-07-19,2018-07-19,2018-07-19,0,0,
2018-07-20,2018-07-20,2018-07-20,45,13,0.0
2018-07-21,2018-07-21,2018-07-21,60,0,
2018-07-22,2018-07-22,2018-07-22,40,25,4.0
2018-07-23,2018-07-23,2018-07-23,22,13,0.0
2018-07-24,2018-07-24,2018-07-24,57,15,0.0
2018-07-25,2018-07-25,2018-07-25,0,0,
2018-07-26,2018-07-26,2018-07-26,0,0,
2018-07-27,2018-07-27,2018-07-27,63,0,
2018-07-28,2018-07-28,2018-07-28,98,59,1.69
2018-07-29,2018-07-29,2018-07-29,14,0,
2018-07-30,2018-07-30,2018-07-30,98,27,3.7
2018-07-31,2018-07-31,2018-07-31,0,0,
2018-08-01,2018-08-01,2018-08-01,28,14,0.0
2018-08-02,2018-08-02,2018-08-02,74,38,0.0
2018-08-03,2018-08-03,2018-08-03,33,18,0.0
2018-08-04,2018-08-04,2018-08-04,61,37,0.0
2018-08-05,2018-08-05,2018-08-05,65,0,
2018-08-06,2018-08-06,2018-08-06,159,65,1.54
2018-08-07,2018-08-07,2018-08-07,35,10,0.0
2018-08-08,2018-08-08,2018-08-08,20,13,7.69
2018-08-09,2018-08-09,2018-08-09,0,0,
2018-08-10,2018-08-10,2018-08-10,76,44,2.27
2018-08-11,2018-08-11,2018-08-11,97,0,
2018-08-12,2018-08-12,2018-08-12,88,0,
2018-08-13,2018-08-13,2018-08-13,34,13,7.69
2018-08-14,2018-08-14,2018-08-14,20,12,0.0
2018-08-15,2018-08-15,2018-08-15,33,20,0.0
2018-08-16,2018-08-16,2018-08-16,59,24,0.0
2018-08-17,2018-08-17,2018-08-17,52,19,0.0
2018-08-18,2018-08-18,2018-08-18,49,19,0.0
2018-08-19,2018-08-19,2018-08-19,23,0,
2018-08-20,2018-08-20,2018-08-20,0,0,
2018-08-21,2018-08-21,2018-08-21,42,13,7.69
2018-08-22,2018-08-22,2018-08-22,37,11,0.0
2018-08-23,2018-08-23,2018-08-23,15,4,0.0
2018-08-24,2018-08-24,2018-08-24,58,0,
2018-08-25,2018-08-25,2018-08-25,27,16,0.0
2018-08-26,2018-08-26,2018-08-26,75,0,
2018-08-27,2018-08-27,2018-08-27,15,5,0.0
2018-08-28,2018-08-28,2018-08-28,26,0,
2018-08-29,2018-08-29,2018-08-29,45,0,
2018-08-30,2018-08-30,2018-08-30,10,6,0.0
2018-08-31,2018-08-31,2018-08-31,0,0,
2018-09-01,2018-09-01,2018-09-01,25,0,
2018-09-02,2018-09-02,2018-09-02,0,0,
2018-09-03,2018-09-03,2018-09-03,0,0,
2018-09-04,2018-09-04,2018-09-04,35,0,
2018-09-05,2018-09-05,2018-09-05,31,0,
2018-09-06,2018-09-06,2018-09-06,18,8,0.0
2018-09-07,2018-09-07,2018-09-07,60,0,
2018-09-08,2018-09-08,2018-09-08,57,0,
2018-09-09,2018-09-09,2018-09-09,70,34,2.94
2018-09-10,2018-09-10,2018-09-10,25,11,0.0
2018-09-11,2018-09-11,2018-09-11,48,15,6.67
2018-09-12,2018-09-12,2018-09-12,19,0,
2018-09-13,2018-09-13,2018-09-13,79,24,0.0
2018-09-14,2018-09-14,2018-09-14,54,28,3.57
2018-09-15,2018-09-15,2018-09-15,47,17,5.88
2018-09-16,2018-09-16,2018-09-16,66,0,
2018-09-17,2018-09-17,2018-09-17,0,0,
2018-09-18,2018-09-18,2018-09-18,73,0,
2018-09-19,2018-09-19,2018-09-19,69,22,4.55
2018-09-20,2018-09-20,2018-09-20,15,0,
2018-09-21,2018-09-21,2018-09-21,87,23,0.0
2018-09-22,2018-09-22,2018-09-22,77,25,8.0
2018-09-23,2018-09-23,2018-09-23,97,63,0.0
2018-09-24,2018-09-24,2018-09-24,33,20,0.0
2018-09-25,2018-09-25,2018-09-25,78,22,4.55
2018-09-26,2018-09-26,2018-09-26,16,8,0.0
2018-09-27,2018-09-27,2018-09-27,31,14,0.0
2018-09-28,2018-09-28,2018-09-28,65,0,
2018-09-29,2018-09-29,2018-09-29,48,24,0.0
2018-09-30,2018-09-30,2018-09-30,0,0,
2018-10-01,2018-10-01,2018-10-01,59,30,3.33
2018-10-02,2018-10-02,2018-10-02,35,15,0.0
2018-10-03,2018-10-03,2018-10-03,63,0,
2018-10-04,2018-10-04,2018-10-04,0,0,
2018-10-05,2018-10-05,2018-10-05,45,0,
2018-10-06,2018-10-06,2018-10-06,13,7,0.0
2018-10-07,2018-10-07,2018-10-07,28,0,
2018-10-08,2018-10-08,2018-10-08,18,7,0.0
2018-10-09,2018-10-09,2018-10-09,73,20,0.0
2018-10-10,2018-10-10,2018-10-10,75,44,2.27
2018-10-11,2018-10-11,2018-10-11,0,0,
2018-10-12,2018-10-12,2018-10-12,34,11,0.0
2018-10-13,2018-10-13,2018-10-13,80,32,0.0
2018-10-14,2018-10-14,2018-10-14,33,0,
2018-10-15,2018-10-15,2018-10-15,44,0,
2018-10-16,2018-10-16,2018-10-16,34,19,0.0
2018-10-17,2018-10-17,2018-10-17,16,0,
2018-10-18,2018-10-18,2018-10-18,89,55,3.64
2018-10-19,2018-10-19,2018-10-19,83,30,3.33
2018-10-20,2018-10-20,2018-10-20,28,0,
2018-10-21,2018-10-21,2018-10-21,32,14,0.0
2018-10-22,2018-10-22,2018-10-22,0,0,
2018-05-18,2018-06-27,2018-06-27,64,2,0.0
2021-10-01,2023-09-10,2023-09-10,20460,0,
2021-10-01,2023-08-13,2023-08-13,19860,11048,4.3
2021-10-01,2023-07-09,2023-07-09,19395,8308,5.57
2021-10-01,2023-05-14,2023-05-14,16859,5164,7.24
2021-10-01,2023-04-16,2023-04-16,15394,6497,4.8
2021-10-01,2023-03-12,2023-03-12,15309,0,
2021-10-01,2023-06-12,2023-06-12,19087,0,
2024-01-01,2024-11-24,2024-11-24,0,0,
2024-10-28,2024-11-24,2024-11-24,26,0,
2024-01-01,2024-10-27,2024-10-27,24,0,
2024-01-01,2024-09-29,2024-09-29,34,10,0.0
2024-01-01,2024-08-25,2024-08-25,59,30,6.67
2014-01-01,2014-04-30,2014-04-30,115,39,2.56
2011-01-01,2011-08-15,2011-08-15,10582,5562,6.81
2018-05-18,2018-11-09,2018-11-09,863,295,7.8
1/4/2010,1/10/2010,2010-01-10,1049,256,1.171875
1/11/2010,1/17/2010,2010-01-17,538,148,0.0
1/18/2010,1/24/2010,2010-01-24,322,103,0.0
1/25/2010,1/31/2010,2010-01-31,346,94,1.0638297872340423
2/1/2010,2/7/2010,2010-02-07,633,160,1.875
2/8/2010,2/14/2010,2010-02-14,478,209,0.9569377990430622
2/15/2010,2/21/2010,2010-02-21,648,152,0.6578947368421052
2/22/2010,2/28/2010,2010-02-28,462,117,1.7094017094017095
3/1/2010,3/7/2010,2010-03-07,622,207,0.4830917874396135
3/8/2010,3/14/2010,2010-03-14,621,195,1.0256410256410255
3/15/2010,3/21/2010,2010-03-21,1284,384,2.604166666666667
3/22/2010,3/28/2010,2010-03-28,334,126,2.380952380952381
3/29/2010,4/4/2010,2010-04-04,496,94,2.127659574468085
4/5/2010,4/11/2010,2010-04-11,1395,377,1.326259946949602
4/12/2010,4/18/2010,2010-04-18,1295,420,1.4285714285714286
4/19/2010,4/25/2010,2010-04-25,1303,200,2.0
4/26/2010,5/2/2010,2010-05-02,1714,309,1.6181229773462782
5/3/2010,5/9/2010,2010-05-09,1119,430,1.8604651162790695
5/10/2010,5/16/2010,2010-05-16,1281,412,0.9708737864077668
5/17/2010,5/23/2010,2010-05-23,1642,386,2.33160621761658
5/24/2010,5/30/2010,2010-05-30,1498,477,2.3060796645702304
5/31/2010,6/6/2010,2010-06-06,1547,609,2.134646962233169
6/7/2010,6/13/2010,2010-06-13,960,358,2.5139664804469275
6/14/2010,6/20/2010,2010-06-20,1347,489,2.2494887525562373
6/21/2010,6/27/2010,2010-06-27,1957,665,1.8045112781954888
6/28/2010,7/4/2010,2010-07-04,1121,527,2.2770398481973437
7/5/2010,7/11/2010,2010-07-11,1555,535,2.6168224299065423
7/12/2010,7/18/2010,2010-07-18,2501,961,2.081165452653486
7/19/2010,7/25/2010,2010-07-25,3429,944,2.6483050847457625
7/26/2010,8/1/2010,2010-08-01,1719,488,1.8442622950819672
8/2/2010,8/8/2010,2010-08-08,3200,878,3.416856492027335
8/9/2010,8/15/2010,2010-08-15,2645,750,2.4
8/16/2010,8/22/2010,2010-08-22,2914,999,3.603603603603604
8/23/2010,8/29/2010,2010-08-29,2180,690,4.057971014492753
8/30/2010,9/5/2010,2010-09-05,2932,921,3.1487513572204127
9/6/2010,9/12/2010,2010-09-12,2561,898,3.5634743875278394
9/13/2010,9/19/2010,2010-09-19,2472,884,2.262443438914027
9/20/2010,9/26/2010,2010-09-26,3007,1151,2.172024326672459
5/6/2010,10/3/2010,2010-10-03,7633,2164,3.512014787430684
9/27/2010,10/3/2010,2010-10-03,1900,522,1.9157088122605364
10/4/2010,10/10/2010,2010-10-10,2588,663,2.564102564102564
10/11/2010,10/17/2010,2010-10-17,2271,882,3.061224489795918
10/18/2010,10/24/2010,2010-10-24,2949,894,1.7897091722595078
4/1/2010,10/25/2010,2010-10-25,362,147,6.802721088435375
10/25/2010,10/31/2010,2010-10-31,3251,1214,1.9769357495881383
11/1/2010,11/7/2010,2010-11-07,1792,618,2.750809061488673
11/8/2010,11/14/2010,2010-11-14,1653,502,1.7928286852589643
11/15/2010,11/21/2010,2010-11-21,1469,607,1.6474464579901154
11/22/2010,11/28/2010,2010-11-28,736,319,2.507836990595611
11/29/2010,12/5/2010,2010-12-05,854,263,2.281368821292776
12/6/2010,12/12/2010,2010-12-12,766,233,1.7167381974248928
12/13/2010,12/19/2010,2010-12-19,365,99,1.0101010101010102
12/20/2010,12/26/2010,2010-12-26,543,122,1.639344262295082
5/6/2010,12/31/2010,2010-12-31,995,125,6.4
12/27/2010,1/2/2011,2011-01-02,425,76,0.0
1/3/2011,1/9/2011,2011-01-09,509,153,1.96078431372549
1/10/2011,1/16/2011,2011-01-16,743,187,2.13903743315508
1/17/2011,1/23/2011,2011-01-23,745,228,0.8771929824561403
1/24/2011,1/30/2011,2011-01-30,503,170,2.3529411764705883
1/31/2011,2/6/2011,2011-02-06,1217,391,1.5345268542199488
2/7/2011,2/13/2011,2011-02-13,587,203,1.477832512315271
2/14/2011,2/20/2011,2011-02-20,1227,319,1.5673981191222568
2/21/2011,2/27/2011,2011-02-27,1524,488,2.0491803278688523
2/28/2011,3/6/2011,2011-03-06,1406,504,2.1825396825396823
3/7/2011,3/13/2011,2011-03-13,1376,421,1.4251781472684086
3/14/2011,3/20/2011,2011-03-20,1335,482,2.904564315352697
3/21/2011,3/27/2011,2011-03-27,1678,546,1.831501831501832
3/28/2011,4/3/2011,2011-04-03,1765,579,1.0362694300518136
4/4/2011,4/10/2011,2011-04-10,2390,789,1.7743979721166032
4/11/2011,4/17/2011,2011-04-17,1705,563,1.953818827708704
4/18/2011,4/24/2011,2011-04-24,2301,751,1.9973368841544608
4/25/2011,5/1/2011,2011-05-01,2261,788,2.1573604060913705
5/2/2011,5/8/2011,2011-05-08,2166,703,2.1337126600284493
5/9/2011,5/15/2011,2011-05-15,2541,885,2.598870056497175
5/16/2011,5/22/2011,2011-05-22,2454,746,2.412868632707774
5/23/2011,5/29/2011,2011-05-29,3217,816,2.5735294117647056
5/30/2011,6/5/2011,2011-06-05,3343,1072,2.0522388059701493
6/6/2011,6/12/2011,2011-06-12,2898,892,1.6816143497757847
6/13/2011,6/19/2011,2011-06-19,2878,925,2.4864864864864864
6/20/2011,6/26/2011,2011-06-26,3657,1206,2.238805970149253
6/27/2011,7/3/2011,2011-07-03,3404,1176,2.0408163265306123
7/4/2011,7/10/2011,2011-07-10,3761,1247,2.3255813953488373
7/11/2011,7/17/2011,2011-07-17,4103,1205,2.489626556016597
7/18/2011,7/24/2011,2011-07-24,3883,1268,2.365930599369085
12/1/2010,7/31/2011,2011-07-31,143,94,7.446808510638298
7/25/2011,7/31/2011,2011-07-31,2923,783,2.4265644955300125
8/1/2011,8/7/2011,2011-08-07,4120,1331,2.779864763335838
6/1/2011,8/12/2011,2011-08-12,144,0,
8/8/2011,8/14/2011,2011-08-14,5237,2208,1.9021739130434785
8/15/2011,8/21/2011,2011-08-21,3747,1243,1.9308125502815767
8/22/2011,8/28/2011,2011-08-28,4309,1314,1.82648401826484
8/29/2011,9/4/2011,2011-09-04,3915,1185,2.0253164556962027
9/5/2011,9/11/2011,2011-09-11,4649,1524,1.9028871391076116
9/12/2011,9/18/2011,2011-09-18,4786,1740,2.2988505747126435
1/1/2011,9/22/2011,2011-09-22,15976,3252,7.103321033210332
9/19/2011,9/25/2011,2011-09-25,3696,1111,2.7902790279027903
9/26/2011,10/2/2011,2011-10-02,3495,971,2.368692070030896
10/3/2011,10/9/2011,2011-10-09,3140,916,3.056768558951965
10/10/2011,10/16/2011,2011-10-16,4231,1516,2.1108179419525066
10/17/2011,10/23/2011,2011-10-23,2843,1025,1.8536585365853655
10/24/2011,10/30/2011,2011-10-30,2614,1025,1.8536585365853655
10/31/2011,11/6/2011,2011-11-06,1841,643,1.3996889580093312
11/7/2011,11/13/2011,2011-11-13,1790,473,2.3255813953488373
11/14/2011,11/20/2011,2011-11-20,1204,439,1.8223234624145783
11/21/2011,11/27/2011,2011-11-27,659,204,0.4901960784313725
11/28/2011,12/4/2011,2011-12-04,487,196,1.020408163265306
9/23/2011,12/11/2011,2011-12-11,5000,1695,5.014749262536873
12/12/2011,12/18/2011,2011-12-18,599,174,2.2988505747126435
12/19/2011,12/25/2011,2011-12-25,529,100,0.0
12/26/2011,1/1/2012,2012-01-01,367,88,2.272727272727273
1/2/2012,1/8/2012,2012-01-08,292,58,1.7241379310344829
1/9/2012,1/15/2012,2012-01-15,524,174,1.7241379310344829
1/16/2012,1/22/2012,2012-01-22,881,136,1.4705882352941175
1/23/2012,1/29/2012,2012-01-29,661,212,1.4150943396226416
1/30/2012,2/5/2012,2012-02-05,814,230,1.7391304347826086
2/6/2012,2/12/2012,2012-02-12,504,118,0.847457627118644
2/13/2012,2/19/2012,2012-02-19,758,301,0.9966777408637874
2/20/2012,2/26/2012,2012-02-26,617,206,0.4854368932038834
2/27/2012,3/4/2012,2012-03-04,543,183,1.639344262295082
3/5/2012,3/11/2012,2012-03-11,549,164,1.2195121951219512
3/12/2012,3/18/2012,2012-03-18,1030,239,0.8368200836820083
3/19/2012,3/25/2012,2012-03-25,280,42,0.0
3/26/2012,4/1/2012,2012-04-01,910,280,1.7857142857142856
4/2/2012,4/8/2012,2012-04-08,910,374,1.3368983957219251
4/9/2012,4/15/2012,2012-04-15,800,281,1.0676156583629894
4/16/2012,4/22/2012,2012-04-22,963,295,1.0169491525423728
4/23/2012,4/29/2012,2012-04-29,709,255,1.1764705882352942
4/30/2012,5/6/2012,2012-05-06,1660,488,1.639344262295082
5/7/2012,5/13/2012,2012-05-13,1569,494,1.8218623481781373
5/14/2012,5/20/2012,2012-05-20,937,372,1.881720430107527
5/21/2012,5/27/2012,2012-05-27,1151,345,1.7391304347826086
5/28/2012,6/3/2012,2012-06-03,2262,722,1.662049861495845
6/4/2012,6/10/2012,2012-06-10,1026,361,0.8310249307479225
8/1/2011,6/11/2012,2012-06-11,0,0,
6/11/2012,6/17/2012,2012-06-17,1524,682,2.346041055718475
6/18/2012,6/24/2012,2012-06-24,1754,593,2.1922428330522767
6/25/2012,7/1/2012,2012-07-01,1731,705,2.695035460992908
7/2/2012,7/8/2012,2012-07-08,2127,555,1.0810810810810811
7/9/2012,7/15/2012,2012-07-15,1189,434,1.8433179723502304
7/16/2012,7/22/2012,2012-07-22,1206,309,1.9417475728155336
7/23/2012,7/29/2012,2012-07-29,1079,328,1.2195121951219512
7/30/2012,8/5/2012,2012-08-05,2344,984,1.829268292682927
8/6/2012,8/12/2012,2012-08-12,1251,437,1.8306636155606408
8/13/2012,8/19/2012,2012-08-19,1383,442,3.3936651583710407
8/20/2012,8/26/2012,2012-08-26,1734,399,2.0050125313283207
8/27/2012,9/2/2012,2012-09-02,2149,836,1.674641148325359
9/3/2012,9/9/2012,2012-09-09,2101,685,2.335766423357664
9/10/2012,9/16/2012,2012-09-16,1542,537,1.48975791433892
9/17/2012,9/23/2012,2012-09-23,1344,519,1.9267822736030824
9/24/2012,9/30/2012,2012-09-30,1682,709,2.1156558533145278
10/1/2012,10/7/2012,2012-10-07,1626,554,1.985559566787004
10/8/2012,10/14/2012,2012-10-14,1762,599,1.001669449081803
10/15/2012,10/21/2012,2012-10-21,1664,593,1.5177065767284992
10/22/2012,10/28/2012,2012-10-28,1961,720,1.6666666666666667
10/29/2012,11/4/2012,2012-11-04,1769,736,1.358695652173913
11/5/2012,11/11/2012,2012-11-11,977,397,2.0151133501259446
11/12/2012,11/18/2012,2012-11-18,568,114,0.8771929824561403
11/19/2012,11/25/2012,2012-11-25,691,274,0.7299270072992701
11/26/2012,12/2/2012,2012-12-02,641,227,1.762114537444934
12/3/2012,12/9/2012,2012-12-09,606,176,0.5681818181818182
12/10/2012,12/16/2012,2012-12-16,397,112,0.0
12/17/2012,12/23/2012,2012-12-23,429,132,0.7575757575757576
12/24/2012,12/30/2012,2012-12-30,408,109,0.9174311926605504
12/31/2012,1/6/2013,2013-01-06,415,154,0.0
1/7/2013,1/13/2013,2013-01-13,266,121,1.6528925619834711
1/14/2013,1/20/2013,2013-01-20,355,140,1.4285714285714286
1/21/2013,1/27/2013,2013-01-27,575,160,1.25
1/28/2013,2/3/2013,2013-02-03,511,169,0.591715976331361
2/4/2013,2/10/2013,2013-02-10,737,230,1.7391304347826086
2/11/2013,2/17/2013,2013-02-17,199,52,5.769230769230769
2/18/2013,2/24/2013,2013-02-24,411,109,0.9174311926605504
2/25/2013,3/3/2013,2013-03-03,812,202,0.495049504950495
3/4/2013,3/10/2013,2013-03-10,876,164,1.829268292682927
3/11/2013,3/17/2013,2013-03-17,1128,306,1.30718954248366
3/18/2013,3/24/2013,2013-03-24,663,267,1.49812734082397
3/25/2013,3/31/2013,2013-03-31,915,358,2.23463687150838
4/1/2013,4/7/2013,2013-04-07,1009,281,0.7117437722419928
4/8/2013,4/14/2013,2013-04-14,1779,498,1.4056224899598393
4/15/2013,4/21/2013,2013-04-21,1089,277,1.083032490974729
4/22/2013,4/28/2013,2013-04-28,925,319,1.8808777429467085
4/29/2013,5/5/2013,2013-05-05,837,297,1.3468013468013469
5/6/2013,5/12/2013,2013-05-12,1525,368,1.9021739130434785
5/13/2013,5/19/2013,2013-05-19,2229,674,1.6320474777448073
5/20/2013,5/26/2013,2013-05-26,1295,398,2.010050251256281
5/27/2013,6/2/2013,2013-06-02,1430,573,1.5706806282722512
6/3/2013,6/9/2013,2013-06-09,1099,363,2.203856749311295
6/10/2013,6/16/2013,2013-06-16,1190,389,1.7994858611825193
6/17/2013,6/23/2013,2013-06-23,1925,854,1.9906323185011712
6/24/2013,6/30/2013,2013-06-30,1539,694,2.881844380403458
7/1/2013,7/7/2013,2013-07-07,1463,434,1.3824884792626728
7/8/2013,7/14/2013,2013-07-14,2424,715,1.5384615384615383
7/15/2013,7/21/2013,2013-07-21,1296,342,1.461988304093567
7/22/2013,7/28/2013,2013-07-28,1609,623,2.086677367576244
7/29/2013,8/4/2013,2013-08-04,1502,599,1.8363939899833053
8/5/2013,8/11/2013,2013-08-11,1100,190,2.1052631578947367
8/12/2013,8/18/2013,2013-08-18,1222,567,1.4109347442680775
8/19/2013,8/25/2013,2013-08-25,1379,522,1.1494252873563218
8/26/2013,9/1/2013,2013-09-01,2478,682,2.346041055718475
9/2/2013,9/8/2013,2013-09-08,592,112,0.8928571428571428
9/9/2013,9/15/2013,2013-09-15,1571,431,1.160092807424594
9/16/2013,9/22/2013,2013-09-22,1377,561,1.7825311942959003
9/23/2013,9/29/2013,2013-09-29,3024,1211,2.064409578860446
9/30/2013,10/6/2013,2013-10-06,1246,391,2.301790281329924
10/7/2013,10/13/2013,2013-10-13,1114,212,2.358490566037736
10/14/2013,10/20/2013,2013-10-20,2112,847,1.6528925619834711
10/21/2013,10/27/2013,2013-10-27,1711,537,1.86219739292365
10/28/2013,11/3/2013,2013-11-03,565,165,1.2121212121212122
11/4/2013,11/10/2013,2013-11-10,570,199,1.507537688442211
11/11/2013,11/17/2013,2013-11-17,2301,764,2.225130890052356
11/18/2013,11/24/2013,2013-11-24,1175,334,1.497005988023952
11/25/2013,12/1/2013,2013-12-01,742,195,1.5384615384615383
12/2/2013,12/8/2013,2013-12-08,789,276,1.0869565217391304
12/9/2013,12/15/2013,2013-12-15,558,174,1.1494252873563218
12/16/2013,12/22/2013,2013-12-22,507,190,1.0526315789473684
12/23/2013,12/29/2013,2013-12-29,390,138,0.7246376811594203
12/30/2013,1/5/2014,2014-01-05,433,153,1.30718954248366
1/6/2014,1/12/2014,2014-01-12,386,140,0.0
1/13/2014,1/19/2014,2014-01-19,386,91,1.098901098901099
1/20/2014,1/26/2014,2014-01-26,562,243,1.2345679012345678
1/27/2014,2/2/2014,2014-02-02,721,161,0.6211180124223602
2/3/2014,2/9/2014,2014-02-09,704,168,1.7857142857142856
2/10/2014,2/16/2014,2014-02-16,752,254,1.574803149606299
2/17/2014,2/23/2014,2014-02-23,501,186,0.5376344086021506
2/24/2014,3/2/2014,2014-03-02,1036,392,0.5102040816326531
3/3/2014,3/9/2014,2014-03-09,683,250,1.2
3/10/2014,3/16/2014,2014-03-16,1508,644,1.2422360248447204
3/17/2014,3/23/2014,2014-03-23,929,286,1.3986013986013983
3/24/2014,3/30/2014,2014-03-30,804,221,0.904977375565611
3/31/2014,4/6/2014,2014-04-06,1031,402,1.7412935323383083
4/7/2014,4/13/2014,2014-04-13,559,164,1.2195121951219512
4/14/2014,4/20/2014,2014-04-20,1022,460,2.1739130434782608
4/21/2014,4/27/2014,2014-04-27,1043,374,1.3368983957219251
1/1/2014,4/30/2014,2014-04-30,16,9,0.0
4/28/2014,5/4/2014,2014-05-04,2473,698,1.8624641833810889
5/5/2014,5/11/2014,2014-05-11,1584,469,1.4925373134328357
5/12/2014,5/18/2014,2014-05-18,1016,336,2.380952380952381
5/19/2014,5/25/2014,2014-05-25,1383,381,1.0498687664041997
5/26/2014,6/1/2014,2014-06-01,2049,891,1.7957351290684629
6/2/2014,6/8/2014,2014-06-08,1578,551,1.996370235934664
6/9/2014,6/15/2014,2014-06-15,1591,653,1.6845329249617151
6/16/2014,6/22/2014,2014-06-22,1639,425,1.8823529411764703
6/23/2014,6/29/2014,2014-06-29,1296,298,1.342281879194631
6/30/2014,7/6/2014,2014-07-06,2744,961,2.18522372528616
7/7/2014,7/13/2014,2014-07-13,2011,441,2.494331065759637
7/14/2014,7/20/2014,2014-07-20,1691,570,1.7543859649122806
4/24/2014,7/24/2014,2014-07-24,1692,104,4.807692307692308
7/21/2014,7/27/2014,2014-07-27,1938,504,2.1825396825396823
7/28/2014,8/3/2014,2014-08-03,2604,1037,1.9286403085824493
8/4/2014,8/10/2014,2014-08-10,2687,897,2.118171683389075
7/25/2014,8/12/2014,2014-08-12,440,135,4.444444444444445
8/11/2014,8/17/2014,2014-08-17,2627,962,1.5592515592515594
8/18/2014,8/24/2014,2014-08-24,1750,598,1.6722408026755853
8/25/2014,8/31/2014,2014-08-31,3035,1085,2.1198156682027647
9/1/2014,9/7/2014,2014-09-07,1904,572,1.5734265734265735
9/8/2014,9/14/2014,2014-09-14,1926,520,2.1153846153846154
9/15/2014,9/21/2014,2014-09-21,1625,498,2.8112449799196786
9/22/2014,9/28/2014,2014-09-28,2438,884,2.262443438914027
9/29/2014,10/5/2014,2014-10-05,2576,950,1.789473684210526
10/6/2014,10/12/2014,2014-10-12,1974,680,2.3529411764705883
10/13/2014,10/19/2014,2014-10-19,2291,790,2.151898734177215
10/20/2014,10/26/2014,2014-10-26,1801,601,2.329450915141431
10/27/2014,11/2/2014,2014-11-02,1838,545,2.9357798165137616
8/21/2014,11/5/2014,2014-11-05,673,128,4.6875
11/3/2014,11/9/2014,2014-11-09,1585,498,2.409638554216868
11/10/2014,11/16/2014,2014-11-16,850,170,1.1764705882352942
11/17/2014,11/23/2014,2014-11-23,526,186,1.0752688172043012
11/24/2014,11/30/2014,2014-11-30,697,229,1.7467248908296942
12/1/2014,12/7/2014,2014-12-07,442,168,0.0
12/8/2014,12/14/2014,2014-12-14,637,211,0.9478672985781992
12/15/2014,12/21/2014,2014-12-21,423,141,0.0
12/22/2014,12/28/2014,2014-12-28,531,113,0.8849557522123894
12/29/2014,1/4/2015,2015-01-04,371,119,2.5210084033613445
1/5/2015,1/11/2015,2015-01-11,333,72,0.0
1/12/2015,1/18/2015,2015-01-18,514,122,1.639344262295082
1/19/2015,1/25/2015,2015-01-25,647,190,1.0526315789473684
1/26/2015,2/1/2015,2015-02-01,519,174,1.1494252873563218
2/2/2015,2/8/2015,2015-02-08,325,48,2.083333333333333
2/9/2015,2/15/2015,2015-02-15,562,226,1.7699115044247788
2/16/2015,2/22/2015,2015-02-22,514,121,1.6528925619834711
2/23/2015,3/1/2015,2015-03-01,743,189,1.058201058201058
3/2/2015,3/8/2015,2015-03-08,606,189,1.058201058201058
3/9/2015,3/15/2015,2015-03-15,480,173,0.5780346820809248
3/16/2015,3/22/2015,2015-03-22,676,168,0.5952380952380952
3/23/2015,3/29/2015,2015-03-29,1245,507,1.7751479289940828
3/30/2015,4/5/2015,2015-04-05,1113,395,1.2658227848101269
4/6/2015,4/12/2015,2015-04-12,1082,362,1.6574585635359116
4/13/2015,4/19/2015,2015-04-19,842,261,1.9157088122605364
4/20/2015,4/26/2015,2015-04-26,642,86,1.162790697674419
4/27/2015,5/3/2015,2015-05-03,1010,151,3.3112582781456954
5/4/2015,5/10/2015,2015-05-10,1277,318,0.9433962264150944
5/11/2015,5/17/2015,2015-05-17,786,159,0.0
5/18/2015,5/24/2015,2015-05-24,1932,734,2.588555858310627
5/25/2015,5/31/2015,2015-05-31,2163,621,2.0933977455716586
6/1/2015,6/7/2015,2015-06-07,1803,456,1.7543859649122806
6/8/2015,6/14/2015,2015-06-14,1631,489,2.4539877300613497
6/15/2015,6/21/2015,2015-06-21,1311,525,1.9047619047619049
6/22/2015,6/28/2015,2015-06-28,1738,484,2.272727272727273
6/29/2015,7/5/2015,2015-07-05,1193,246,1.6260162601626018
7/6/2015,7/12/2015,2015-07-12,1698,554,1.985559566787004
7/13/2015,7/19/2015,2015-07-19,1306,510,2.156862745098039
7/20/2015,7/26/2015,2015-07-26,1269,564,1.5957446808510638
